Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	
1	0	5.7431	1	460	1105	2857	4205	801	-15.0	200	0	1	6.7645	0	
2	1	18.1913	0	460	1105	2857	4205	801	-15.0	200	0	0	19.8216	1	
3	0	23.7676	0	730	2058	2857	4205	651	-7.5	200	1	1	24.9782	1	
4	0	35.8780	0	730	2058	2857	4205	501	0.0	200	1	0	37.1169	0	
5	1	47.0881	0	730	2058	2857	4205	501	0.0	200	1	0	48.5175	0	
6	1	62.1799	0	730	2058	2857	4205	501	0.0	200	1	0	63.4112	0	
7	1	71.9427	0	730	2058	2857	4205	501	0.0	200	1	1	73.3358	1	
8	0	84.7593	0	460	1105	2857	4205	551	7.5	200	0	1	86.1921	0	
9	1	95.2143	0	460	1105	2857	4205	551	7.5	200	0	0	96.5060	1	
10	0	100.9859	0	460	1105	2857	4205	751	15.0	200	0	0	101.8800	1	
11	0	107.0588	0	730	2058	2857	4205	901	0.0	200	1	1	108.0046	1	
12	0	116.9425	0	730	2058	2857	4205	851	7.5	200	1	1	117.3861	1	
13	0	134.6943	0	460	1105	2857	4205	701	-15.0	200	0	0	135.4661	1	
14	0	140.2448	0	460	1105	2857	4205	601	15.0	200	0	0	140.7625	1	
15	0	154.0191	0	730	2058	2857	4205	951	-7.5	200	1	1	154.5461	1	
16	0	165.6490	0	460	1105	2857	4205	951	-15.0	200	0	0	166.2649	1	
17	0	170.5825	0	460	1105	2857	4205	501	0.0	200	0	0	171.6586	1	
18	0	175.8338	0	730	2058	2857	4205	701	-15.0	200	1	1	176.8550	1	
19	0	191.2449	0	730	2058	2857	4205	551	15.0	200	1	0	191.7198	0	
20	1	200.1727	0	730	2058	2857	4205	551	15.0	200	1	1	201.4534	1	
21	0	210.7137	0	730	2058	2857	4205	901	7.5	200	1	1	211.7009	1	
22	0	224.3180	0	460	1105	2857	4205	651	-7.5	200	0	0	224.7858	1	
23	0	232.7559	0	460	1105	2857	4205	1001	-15.0	200	0	0	233.4309	1	
24	0	237.7023	0	730	2058	2857	4205	801	-7.5	200	1	1	238.5109	1	
25	0	247.0455	0	460	1105	2857	4205	601	15.0	200	0	0	247.7641	1	
26	0	262.1340	0	730	2058	2857	4205	851	7.5	200	1	1	263.1453	1	
27	0	272.5602	1	460	1105	2857	4205	801	-7.5	200	0	0	273.3434	1	
28	0	277.5533	0	460	1105	2857	4205	751	15.0	200	0	0	278.9063	1	
29	0	282.8828	0	730	2058	2857	4205	901	7.5	200	1	1	284.1116	1	
30	0	291.8308	0	460	1105	2857	4205	851	0.0	200	0	0	292.5144	1	
31	0	296.3455	1	730	2058	2857	4205	701	15.0	200	1	0	299.0932	0	
32	1	307.5680	0	730	2058	2857	4205	701	15.0	200	1	0	308.5798	0	
33	1	318.6357	0	730	2058	2857	4205	701	15.0	200	1	0	319.8559	0	
34	1	331.2516	0	730	2058	2857	4205	701	15.0	200	1	0	332.5220	0	
35	1	345.5237	0	730	2058	2857	4205	701	15.0	200	1	0	346.9243	0	
36	1	355.1099	1	730	2058	2857	4205	701	15.0	200	1	1	364.4969	1	
37	0	374.4537	0	460	1105	2857	4205	551	0.0	200	0	0	375.7836	1	
38	0	379.7200	0	730	2058	2857	4205	1001	7.5	200	1	1	381.1801	1	
39	0	394.6391	0	730	2058	2857	4205	651	-15.0	200	1	1	395.5784	1	
40	0	405.3216	0	460	1105	2857	4205	951	-15.0	200	0	0	405.9851	1	
41	0	410.8605	0	730	2058	2857	4205	601	15.0	200	1	0	411.7795	0	
42	1	420.5417	0	730	2058	2857	4205	601	15.0	200	1	1	422.0581	1	
43	0	430.7837	0	730	2058	2857	4205	551	-7.5	200	1	1	431.7123	1	
44	0	449.3604	0	730	2058	2857	4205	901	0.0	200	1	1	449.9763	1	
45	0	461.1002	0	460	1105	2857	4205	701	-15.0	200	0	0	461.9042	1	
46	0	465.5721	1	730	2058	2857	4205	651	0.0	200	1	0	469.7648	0	
47	1	480.3971	0	730	2058	2857	4205	651	0.0	200	1	1	481.5084	1	
48	0	490.0058	0	460	1105	2857	4205	1001	-7.5	200	0	0	491.0596	1	
49	0	495.0401	0	460	1105	2857	4205	751	15.0	200	0	0	496.2811	1	
50	0	500.5595	0	730	2058	2857	4205	801	-7.5	200	1	1	502.1396	1	
51	0	511.6194	0	460	1105	2857	4205	501	15.0	200	0	0	512.6544	1	
52	0	516.9360	1	460	1105	2857	4205	951	-15.0	200	0	0	517.8223	1	
53	0	528.2567	0	730	2058	2857	4205	601	7.5	200	1	0	530.2363	0	
54	1	538.9855	0	730	2058	2857	4205	601	7.5	200	1	1	540.1043	1	
55	0	547.4804	0	730	2058	2857	4205	551	-15.0	200	1	1	548.5366	1	
56	0	558.2043	0	730	2058	2857	4205	851	15.0	200	1	1	559.3254	1	
57	0	569.3427	0	730	2058	2857	4205	901	7.5	200	1	0	570.4460	0	
58	1	578.5699	0	730	2058	2857	4205	901	7.5	200	1	0	579.6601	0	
59	1	593.1115	0	730	2058	2857	4205	901	7.5	200	1	0	594.5288	0	
60	1	604.8220	0	730	2058	2857	4205	901	7.5	200	1	1	605.6838	1	
61	0	615.0352	0	730	2058	2857	4205	701	-7.5	200	1	1	615.8077	1	
62	0	624.9540	0	460	1105	2857	4205	601	-15.0	200	0	0	625.7892	1	
63	0	629.7213	0	460	1105	2857	4205	651	0.0	200	0	0	630.9104	1	
64	0	635.2080	0	460	1105	2857	4205	1001	7.5	200	0	0	636.1739	1	
65	0	639.9235	0	460	1105	2857	4205	801	-7.5	200	0	0	641.4584	1	
66	0	645.3768	0	460	1105	2857	4205	501	15.0	200	0	0	646.8446	1	
67	0	651.6150	0	730	2058	2857	4205	951	-15.0	200	1	1	652.5191	1	
68	0	661.5443	0	730	2058	2857	4205	751	-7.5	200	1	1	662.2027	1	
69	0	671.3844	0	730	2058	2857	4205	801	7.5	200	1	1	672.3407	1	
70	0	683.2711	0	460	1105	2857	4205	851	-7.5	200	0	0	683.8356	1	
71	0	688.0119	0	730	2058	2857	4205	901	-15.0	200	1	1	688.9570	1	
72	0	700.7574	0	460	1105	2857	4205	951	0.0	200	0	0	701.3983	1	
73	0	705.6065	0	730	2058	2857	4205	501	15.0	200	1	0	707.0919	0	
74	1	716.3158	0	730	2058	2857	4205	501	15.0	200	1	1	717.7340	1	
75	0	726.2973	0	460	1105	2857	4205	1001	7.5	200	0	0	726.9752	1	
76	0	730.7529	0	460	1105	2857	4205	651	-15.0	200	0	0	731.9378	1	
77	0	735.9788	1	460	1105	2857	4205	601	15.0	200	0	0	737.6750	1	
78	0	741.1420	0	730	2058	2857	4205	551	0.0	200	1	1	742.7809	1	
79	0	750.5764	0	460	1105	2857	4205	551	15.0	200	0	0	751.5185	1	
80	0	754.9161	0	460	1105	2857	4205	601	7.5	200	0	0	756.3912	1	
81	0	760.1133	0	730	2058	2857	4205	701	-7.5	200	1	1	761.7190	1	
82	0	775.3504	0	730	2058	2857	4205	1001	0.0	200	1	1	776.3591	1	
83	0	787.2451	0	730	2058	2857	4205	801	0.0	200	1	1	788.0974	1	
84	0	797.0642	0	730	2058	2857	4205	851	-15.0	200	1	1	797.8045	1	
85	0	808.4451	0	730	2058	2857	4205	501	15.0	200	1	0	809.4090	0	
86	1	817.0897	0	730	2058	2857	4205	501	15.0	200	1	1	818.4662	1	
87	0	827.0436	0	460	1105	2857	4205	651	-7.5	200	0	0	828.0141	1	
88	0	831.9575	0	460	1105	2857	4205	901	7.5	200	0	0	832.8024	1	
89	0	836.8775	0	460	1105	2857	4205	751	-15.0	200	0	0	838.2605	1	
90	0	841.8943	0	730	2058	2857	4205	651	15.0	200	1	1	843.6070	1	
91	0	853.9229	0	730	2058	2857	4205	801	-7.5	200	1	1	854.9563	1	
92	0	863.8121	0	460	1105	2857	4205	851	-7.5	200	0	0	864.7805	1	
93	0	868.5820	0	460	1105	2857	4205	601	0.0	200	0	0	869.9272	1	
94	0	874.1256	0	730	2058	2857	4205	1001	-15.0	200	1	1	875.3237	1	
95	0	884.1399	0	730	2058	2857	4205	701	7.5	200	1	1	885.4211	1	
96	0	900.2203	0	460	1105	2857	4205	501	0.0	200	0	0	901.5981	1	
97	0	905.8565	0	460	1105	2857	4205	901	-15.0	200	0	0	906.7623	1	
98	0	910.6339	1	460	1105	2857	4205	751	-7.5	200	0	0	912.0451	1	
99	0	916.0906	0	730	2058	2857	4205	951	7.5	200	1	1	917.5137	1	
100	0	924.6674	0	460	1105	2857	4205	701	15.0	200	0	0	925.2712	1	
101	0	928.8592	0	460	1105	2857	4205	551	-7.5	200	0	0	930.3028	1	
102	0	934.4709	1	730	2058	2857	4205	801	7.5	200	1	0	938.1066	0	
103	1	949.3601	0	730	2058	2857	4205	801	7.5	200	1	1	950.3506	1	
104	0	961.1164	1	460	1105	2857	4205	901	-15.0	200	0	0	961.8566	1	
105	0	966.0624	0	460	1105	2857	4205	851	7.5	200	0	0	969.3518	1	
106	0	973.4421	0	730	2058	2857	4205	1001	0.0	200	1	1	974.8716	1	
107	0	982.0540	0	460	1105	2857	4205	501	-7.5	200	0	0	983.0843	1	
108	0	986.8566	0	730	2058	2857	4205	751	15.0	200	1	1	988.0633	1	
109	0	997.7616	0	730	2058	2857	4205	651	15.0	200	1	1	998.8985	1	
110	0	1022.2031	0	730	2058	2857	4205	951	-15.0	200	1	0	1024.0177	0	
111	1	1034.4127	0	730	2058	2857	4205	951	-15.0	200	1	1	1035.3141	1	
112	0	1044.0885	0	460	1105	2857	4205	601	7.5	200	0	0	1045.5658	1	
113	0	1049.3697	1	730	2058	2857	4205	851	-7.5	200	1	1	1052.5974	1	
114	0	1062.1506	0	730	2058	2857	4205	551	15.0	200	1	1	1063.4208	1	
