Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	
1	0	12.0700	0	730	2058	2857	4205	501	-20.0	200	1	1	13.3797	1	
2	0	46.6205	0	730	2058	2857	4205	1001	-2.0	200	1	1	55.3714	1	
3	0	60.8994	0	460	1105	2857	4205	701	-13.5	200	0	0	64.9821	1	
4	0	81.5027	0	730	2058	2857	4205	651	-6.5	200	1	1	82.4924	1	
5	0	88.1572	0	460	1105	2857	4205	901	-4.5	200	0	0	88.9554	1	
6	0	101.7691	0	730	2058	2857	4205	951	-11.0	200	1	1	102.1575	1	
7	0	119.1167	0	460	1105	2857	4205	751	-18.0	200	0	0	120.0213	1	
8	0	127.5927	0	460	1105	2857	4205	601	-13.5	200	0	0	128.1465	1	
9	0	135.5779	0	460	1105	2857	4205	551	-4.5	200	0	0	136.2096	1	
10	0	149.7126	0	730	2058	2857	4205	851	-11.0	200	1	1	150.2878	1	
11	0	160.9008	0	460	1105	2857	4205	1001	0.0	200	0	0	161.4692	1	
12	0	169.7202	0	730	2058	2857	4205	501	-20.0	200	1	0	170.6633	0	
13	1	181.5344	0	730	2058	2857	4205	501	-20.0	200	1	1	182.3514	1	
14	0	186.0580	0	730	2058	2857	4205	601	-6.5	200	1	1	187.4625	1	
15	0	194.9646	0	460	1105	2857	4205	951	-9.0	200	0	0	195.7454	1	
16	0	208.0943	0	730	2058	2857	4205	551	-2.0	200	1	0	208.5227	0	
17	1	225.3330	0	730	2058	2857	4205	551	-2.0	200	1	1	226.1396	1	
18	0	242.2064	0	460	1105	2857	4205	751	-13.5	200	0	0	242.9730	1	
19	0	249.3144	0	460	1105	2857	4205	801	-9.0	200	0	0	249.6668	1	
20	0	271.8267	0	730	2058	2857	4205	701	-6.5	200	1	1	273.0206	1	
21	0	279.2376	0	730	2058	2857	4205	851	-15.5	200	1	1	279.8796	1	
22	0	293.6711	0	460	1105	2857	4205	651	-18.0	200	0	0	294.3135	1	
23	0	302.0229	0	460	1105	2857	4205	801	-9.0	200	0	0	302.3718	1	
24	0	326.6198	1	730	2058	2857	4205	751	-15.5	200	1	1	331.0858	1	
25	0	341.9670	0	460	1105	2857	4205	901	-4.5	200	0	0	343.6583	1	
26	0	350.5360	0	730	2058	2857	4205	851	-2.0	200	1	0	351.3255	0	
27	1	375.3593	1	730	2058	2857	4205	851	-2.0	200	1	1	379.5165	1	
28	0	383.0165	0	460	1105	2857	4205	601	0.0	200	0	0	384.2955	1	
29	0	391.4165	0	730	2058	2857	4205	501	-15.5	200	1	1	392.4967	1	
30	0	404.4162	0	730	2058	2857	4205	651	-11.0	200	1	1	405.2755	1	
31	0	415.9854	0	460	1105	2857	4205	951	-4.5	200	0	0	419.5780	1	
32	0	434.9675	0	730	2058	2857	4205	701	-2.0	200	1	1	435.9389	1	
33	0	442.9874	1	460	1105	2857	4205	551	-13.5	200	0	0	449.1698	1	
34	0	458.9282	0	730	2058	2857	4205	801	-20.0	200	1	0	460.3084	0	
35	1	472.8163	0	730	2058	2857	4205	801	-20.0	200	1	1	473.5982	1	
36	0	489.6597	0	460	1105	2857	4205	651	-9.0	200	0	1	490.7253	0	
37	1	504.8205	0	460	1105	2857	4205	651	-9.0	200	0	0	505.5793	1	
38	0	514.1856	0	730	2058	2857	4205	701	-11.0	200	1	0	516.5634	0	
39	1	527.8086	0	730	2058	2857	4205	701	-11.0	200	1	1	528.6644	1	
40	0	539.4914	0	460	1105	2857	4205	751	-13.5	200	0	0	540.5136	1	
41	0	546.4254	0	460	1105	2857	4205	501	0.0	200	0	0	546.9829	1	
42	0	556.4361	0	730	2058	2857	4205	1001	-20.0	200	1	1	557.1318	1	
43	0	576.1403	0	730	2058	2857	4205	901	-11.0	200	1	1	576.9207	1	
44	0	588.9833	0	460	1105	2857	4205	951	-13.5	200	0	0	589.4579	1	
45	0	595.0603	0	460	1105	2857	4205	601	0.0	200	0	0	595.6054	1	
46	0	605.1220	0	730	2058	2857	4205	851	-20.0	200	1	1	605.5394	1	
47	0	609.9614	0	460	1105	2857	4205	801	0.0	200	0	0	610.4475	1	
48	0	620.6672	1	460	1105	2857	4205	1001	-18.0	200	0	0	622.8693	1	
49	0	640.0444	0	460	1105	2857	4205	651	-4.5	200	0	0	642.5615	1	
50	0	655.9207	1	730	2058	2857	4205	851	-15.5	200	1	1	656.7243	1	
51	0	659.8963	0	460	1105	2857	4205	501	-13.5	200	0	0	660.8373	1	
52	0	674.0315	0	730	2058	2857	4205	951	-2.0	200	1	0	674.7676	0	
53	1	686.6159	0	730	2058	2857	4205	951	-2.0	200	1	1	692.8151	1	
54	0	697.3086	0	730	2058	2857	4205	901	-6.5	200	1	0	698.5727	0	
55	1	713.0895	0	730	2058	2857	4205	901	-6.5	200	1	1	713.9321	1	
56	0	725.2296	0	460	1105	2857	4205	551	-18.0	200	0	0	725.9511	1	
57	0	737.6093	0	730	2058	2857	4205	601	-20.0	200	1	1	738.3968	1	
58	0	743.1424	0	730	2058	2857	4205	751	-2.0	200	1	1	743.9504	1	
59	0	750.8816	0	730	2058	2857	4205	501	-11.0	200	1	1	751.8476	1	
60	0	762.4223	0	730	2058	2857	4205	901	-6.5	200	1	1	763.0182	1	
61	0	774.9522	1	460	1105	2857	4205	951	-18.0	200	0	0	775.9616	1	
62	0	785.7226	0	460	1105	2857	4205	801	-9.0	200	0	0	786.2112	1	
63	0	799.2404	0	730	2058	2857	4205	851	-2.0	200	1	1	804.2501	1	
64	0	814.4023	0	460	1105	2857	4205	601	-4.5	200	0	0	815.2633	1	
65	0	837.3779	0	460	1105	2857	4205	1001	-18.0	200	0	0	838.4109	1	
66	0	846.7442	0	730	2058	2857	4205	701	-15.5	200	1	1	847.4957	1	
67	0	853.1844	0	460	1105	2857	4205	751	-4.5	200	0	0	853.7305	1	
68	0	862.6276	0	730	2058	2857	4205	651	-11.0	200	1	1	863.4389	1	
69	0	869.7020	0	730	2058	2857	4205	651	-11.0	200	1	1	870.3816	1	
70	0	877.9322	1	730	2058	2857	4205	551	-2.0	200	1	1	878.7916	1	
71	0	884.3534	0	730	2058	2857	4205	751	-20.0	200	1	1	885.3339	1	
72	0	892.3315	0	460	1105	2857	4205	601	-4.5	200	0	0	893.2997	1	
73	0	902.7405	0	730	2058	2857	4205	801	-20.0	200	1	1	903.3403	1	
74	0	914.6887	1	460	1105	2857	4205	701	0.0	200	0	0	915.9175	1	
75	0	922.5551	0	730	2058	2857	4205	901	-15.5	200	1	1	934.0998	1	
76	0	942.7752	0	460	1105	2857	4205	951	-4.5	200	0	0	944.1341	1	
77	0	959.8170	0	460	1105	2857	4205	851	0.0	200	0	0	960.7537	1	
78	0	966.8292	0	460	1105	2857	4205	501	-13.5	200	0	0	967.6406	1	
79	0	975.4808	0	460	1105	2857	4205	751	-18.0	200	0	0	975.9022	1	
80	0	981.3049	0	460	1105	2857	4205	701	-4.5	200	0	0	981.7403	1	
81	0	997.8264	0	730	2058	2857	4205	901	-11.0	200	1	1	998.8044	1	
82	0	1015.0473	0	730	2058	2857	4205	1001	-15.5	200	1	1	1015.8422	1	
83	0	1022.7201	0	730	2058	2857	4205	551	-20.0	200	1	1	1023.3885	1	
84	0	1029.6051	0	460	1105	2857	4205	651	-4.5	200	0	0	1030.1866	1	
85	0	1041.5075	1	730	2058	2857	4205	801	-11.0	200	1	1	1042.2257	1	
86	0	1051.8548	0	460	1105	2857	4205	851	-4.5	200	0	0	1052.9035	1	
87	0	1060.7410	0	460	1105	2857	4205	501	-13.5	200	0	0	1061.5922	1	
88	0	1068.3710	0	730	2058	2857	4205	601	-2.0	200	1	1	1069.8378	1	
89	0	1076.4209	0	730	2058	2857	4205	951	-6.5	200	1	1	1077.0680	1	
90	0	1083.2592	0	730	2058	2857	4205	801	-11.0	200	1	1	1084.2395	1	
91	0	1092.9100	0	460	1105	2857	4205	751	-18.0	200	0	0	1093.6916	1	
92	0	1098.4603	1	460	1105	2857	4205	551	-13.5	200	0	1	1099.7915	0	
93	1	1116.9505	0	460	1105	2857	4205	551	-13.5	200	0	0	1118.2120	1	
94	0	1125.3361	0	460	1105	2857	4205	1001	-18.0	200	0	0	1125.6757	1	
95	0	1140.0752	0	730	2058	2857	4205	601	-11.0	200	1	1	1141.6842	1	
96	0	1147.1300	0	460	1105	2857	4205	651	-4.5	200	0	0	1147.7221	1	
97	0	1155.5511	0	730	2058	2857	4205	901	-15.5	200	1	1	1156.2106	1	
98	0	1170.0068	0	460	1105	2857	4205	851	0.0	200	0	0	1170.4458	1	
99	0	1178.0471	0	730	2058	2857	4205	701	-6.5	200	1	1	1178.6567	1	
100	0	1183.9631	0	730	2058	2857	4205	801	-20.0	200	1	1	1184.7587	1	
101	0	1197.9237	0	730	2058	2857	4205	701	-15.5	200	1	1	1198.2906	1	
