Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	
1	0	7.4605	1	460	1105	2857	4205	751	-4.5	200	1	1	8.2949	1	
2	0	15.9639	0	460	1105	2857	4205	951	0.0	200	1	1	16.6243	1	
3	0	23.4924	0	460	1105	2857	4205	651	-13.5	200	1	1	24.3991	1	
4	0	30.1629	0	730	2058	2857	4205	551	-20.0	200	0	1	32.2432	0	
5	1	38.8262	1	730	2058	2857	4205	551	-20.0	200	0	0	39.7011	1	
6	0	45.9859	0	730	2058	2857	4205	901	-20.0	200	0	0	47.5740	1	
7	0	52.9355	0	730	2058	2857	4205	701	-6.5	200	0	1	53.9231	0	
8	1	63.7735	0	730	2058	2857	4205	701	-6.5	200	0	0	64.8461	1	
9	0	69.6090	0	730	2058	2857	4205	801	-15.5	200	0	0	70.5244	1	
10	0	75.6118	0	730	2058	2857	4205	601	-11.0	200	0	0	76.3735	1	
11	0	81.9460	1	460	1105	2857	4205	1001	0.0	200	1	1	82.3029	1	
12	0	87.4578	0	460	1105	2857	4205	851	-13.5	200	1	0	91.7590	0	
13	1	99.1376	0	460	1105	2857	4205	851	-13.5	200	1	1	99.6441	1	
14	0	107.4571	1	730	2058	2857	4205	1001	-20.0	200	0	0	107.7464	1	
15	0	112.6692	0	460	1105	2857	4205	851	-9.0	200	1	0	116.4554	0	
16	1	122.9480	0	460	1105	2857	4205	851	-9.0	200	1	1	123.7287	1	
17	0	130.8334	0	460	1105	2857	4205	601	-18.0	200	1	1	131.9150	1	
18	0	135.6579	0	730	2058	2857	4205	751	-2.0	200	0	0	136.2738	1	
19	0	140.3501	0	460	1105	2857	4205	551	-13.5	200	1	1	141.2932	1	
20	0	144.9102	0	460	1105	2857	4205	951	-4.5	200	1	1	145.2341	1	
21	0	151.4296	0	730	2058	2857	4205	701	-20.0	200	0	0	152.0917	1	
22	0	159.2412	0	730	2058	2857	4205	901	-6.5	200	0	0	159.8433	1	
23	0	164.5826	0	730	2058	2857	4205	651	-15.5	200	0	0	164.9800	1	
