Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	
1	0	3.3668	0	936	1551	2975	4263	576	-15.5	200	1	1	5.4241	1	
2	0	15.4911	1	936	1551	2975	4263	526	-11.0	200	1	0	26.6705	0	
3	1	75.3209	0	936	1551	2975	4263	526	-11.0	200	1	0	89.3096	0	
4	1	97.6021	1	936	1551	2975	4263	526	-11.0	200	1	1	102.4167	1	
5	0	117.5702	0	936	1551	2975	4263	751	-20.0	200	1	1	119.5467	1	
6	0	133.2402	1	936	1551	2975	4263	551	-6.5	200	1	1	137.3204	1	
7	0	150.3791	0	437	2761	2975	4263	601	-1.5	200	0	0	163.5539	1	
8	0	180.0003	0	437	2761	2975	4263	726	-6.0	200	0	0	181.6311	1	
9	0	197.4210	0	437	2761	2975	4263	701	-10.5	200	0	1	199.0902	0	
10	1	205.5280	0	437	2761	2975	4263	701	-10.5	200	0	1	206.7134	0	
11	1	212.7220	1	437	2761	2975	4263	701	-10.5	200	0	0	217.1838	1	
12	0	233.8366	0	936	1551	2975	4263	501	-20.0	200	1	0	236.4928	0	
13	1	242.3343	1	936	1551	2975	4263	501	-20.0	200	1	1	260.9867	1	
14	0	276.2628	0	437	2761	2975	4263	651	-6.0	200	0	1	277.9677	0	
15	1	285.8926	0	437	2761	2975	4263	651	-6.0	200	0	0	287.2481	1	
16	0	304.0903	1	437	2761	2975	4263	676	-15.0	200	0	0	305.2007	1	
17	0	322.2987	0	437	2761	2975	4263	651	-10.5	200	0	0	324.2923	1	
18	0	339.7983	0	437	2761	2975	4263	751	3.0	200	0	0	341.8541	1	
19	0	361.8420	0	437	2761	2975	4263	601	-15.0	200	0	0	363.6774	1	
20	0	381.4791	0	936	1551	2975	4263	676	-6.5	200	1	0	383.4745	0	
21	1	391.9121	0	936	1551	2975	4263	676	-6.5	200	1	0	393.8287	0	
22	1	400.5319	0	936	1551	2975	4263	676	-6.5	200	1	0	402.4091	0	
23	1	408.2770	0	936	1551	2975	4263	676	-6.5	200	1	0	410.2000	0	
24	1	416.2232	0	936	1551	2975	4263	676	-6.5	200	1	1	418.4798	1	
25	0	435.2887	0	437	2761	2975	4263	701	3.0	200	0	1	436.3810	0	
26	1	446.9314	1	437	2761	2975	4263	701	3.0	200	0	0	452.3294	1	
27	0	469.6889	1	936	1551	2975	4263	551	-11.0	200	1	1	480.0508	1	
28	0	494.2757	0	936	1551	2975	4263	526	-20.0	200	1	1	497.3761	1	
29	0	514.3594	0	437	2761	2975	4263	726	-6.0	200	0	0	516.1743	1	
30	0	534.4486	0	936	1551	2975	4263	576	-6.5	200	1	0	535.8133	0	
31	1	545.3832	0	936	1551	2975	4263	576	-6.5	200	1	1	547.3232	1	
32	0	562.3649	0	936	1551	2975	4263	626	-2.0	200	1	1	563.2942	1	
33	0	581.7166	0	936	1551	2975	4263	551	-20.0	200	1	1	583.1322	1	
34	0	597.4477	0	437	2761	2975	4263	576	-6.0	200	0	0	598.6332	1	
35	0	617.0160	0	437	2761	2975	4263	601	-10.5	200	0	0	618.0572	1	
36	0	635.9084	0	936	1551	2975	4263	501	-2.0	200	1	1	637.8830	1	
37	0	652.2946	0	437	2761	2975	4263	526	-10.5	200	0	0	653.8287	1	
38	0	676.8703	1	936	1551	2975	4263	726	-20.0	200	1	1	687.5211	1	
39	0	701.5750	0	936	1551	2975	4263	626	-2.0	200	1	1	703.2203	1	
40	0	718.4008	0	936	1551	2975	4263	651	-6.5	200	1	1	720.6905	1	
41	0	737.5647	1	437	2761	2975	4263	676	-1.5	200	0	0	749.6779	1	
42	0	768.5897	0	437	2761	2975	4263	701	-6.0	200	0	0	769.8141	1	
43	0	786.3956	0	936	1551	2975	4263	726	-20.0	200	1	0	787.7528	0	
44	1	793.6296	1	936	1551	2975	4263	726	-20.0	200	1	1	802.5262	1	
45	0	817.0309	0	936	1551	2975	4263	626	-15.5	200	1	1	818.7758	1	
46	0	834.3317	0	936	1551	2975	4263	576	-15.5	200	1	1	836.1838	1	
47	0	853.2733	1	437	2761	2975	4263	501	-1.5	200	0	0	860.9921	1	
48	0	879.7895	0	936	1551	2975	4263	701	-11.0	200	1	1	881.7585	1	
49	0	895.5462	0	936	1551	2975	4263	676	-20.0	200	1	1	897.1856	1	
50	0	910.5738	1	437	2761	2975	4263	651	-15.0	200	0	0	919.1720	1	
51	0	935.7832	0	437	2761	2975	4263	601	3.0	200	0	0	937.0325	1	
52	0	954.4766	1	437	2761	2975	4263	751	-1.5	200	0	0	963.2660	1	
53	0	981.0624	0	437	2761	2975	4263	526	-6.0	200	0	0	982.1698	1	
54	0	1000.5197	1	936	1551	2975	4263	726	-6.5	200	1	1	1007.2939	1	
55	0	1022.0904	0	437	2761	2975	4263	551	-10.5	200	0	0	1025.9071	1	
56	0	1044.3496	0	437	2761	2975	4263	501	3.0	200	0	0	1045.6653	1	
57	0	1065.3319	0	437	2761	2975	4263	701	-6.0	200	0	0	1066.8018	1	
58	0	1085.7490	1	936	1551	2975	4263	601	-15.5	200	1	1	1091.8901	1	
59	0	1104.5970	0	437	2761	2975	4263	651	-15.0	200	0	0	1107.9050	1	
60	0	1126.6651	0	936	1551	2975	4263	526	-2.0	200	1	0	1128.7170	0	
61	1	1143.1866	0	936	1551	2975	4263	526	-2.0	200	1	1	1144.4534	1	
62	0	1156.2626	0	936	1551	2975	4263	751	-11.0	200	1	1	1157.7467	1	
63	0	1172.7190	1	936	1551	2975	4263	626	-2.0	200	1	1	1180.5632	1	
64	0	1193.6526	0	437	2761	2975	4263	576	-10.5	200	0	0	1195.0853	1	
65	0	1215.4863	0	936	1551	2975	4263	576	-20.0	200	1	0	1216.7669	0	
66	1	1224.1034	1	936	1551	2975	4263	576	-20.0	200	1	1	1226.4773	1	
67	0	1241.2832	1	936	1551	2975	4263	726	-6.5	200	1	1	1258.0971	1	
68	0	1275.2537	1	437	2761	2975	4263	751	-6.0	200	0	0	1279.7867	1	
69	0	1294.7644	0	437	2761	2975	4263	676	-1.5	200	0	1	1299.0938	0	
70	1	1323.6151	0	437	2761	2975	4263	676	-1.5	200	0	0	1328.6738	1	
71	0	1341.9589	0	437	2761	2975	4263	701	-15.0	200	0	0	1343.5148	1	
72	0	1360.6754	0	936	1551	2975	4263	601	-2.0	200	1	1	1362.5949	1	
73	0	1375.1114	0	437	2761	2975	4263	551	-15.0	200	0	1	1377.4694	0	
74	1	1401.7456	1	437	2761	2975	4263	551	-15.0	200	0	1	1405.0202	0	
75	1	1424.0214	1	437	2761	2975	4263	551	-15.0	200	0	0	1426.3350	1	
76	0	1443.5346	1	936	1551	2975	4263	651	-11.0	200	1	1	1458.8481	1	
77	0	1468.8666	0	936	1551	2975	4263	526	-2.0	200	1	1	1472.0452	1	
78	0	1486.9229	1	437	2761	2975	4263	626	-1.5	200	0	0	1493.7337	1	
79	0	1510.6258	0	437	2761	2975	4263	751	-1.5	200	0	0	1512.2163	1	
80	0	1529.8376	0	936	1551	2975	4263	526	-15.5	200	1	0	1531.7303	0	
81	1	1539.5101	0	936	1551	2975	4263	526	-15.5	200	1	1	1541.1850	1	
82	0	1553.0220	0	936	1551	2975	4263	576	-2.0	200	1	1	1555.1884	1	
83	0	1685.4262	0	936	1551	2975	4263	501	-11.0	200	1	0	1687.1760	0	
84	1	1694.0206	0	936	1551	2975	4263	501	-11.0	200	1	0	1697.8683	0	
85	1	1725.8229	0	936	1551	2975	4263	501	-11.0	200	1	0	1736.9216	0	
86	1	1745.0444	1	936	1551	2975	4263	501	-11.0	200	1	0	1747.0995	0	
87	1	1758.2486	0	936	1551	2975	4263	501	-11.0	200	1	1	1774.5625	1	
88	0	1783.8652	0	936	1551	2975	4263	601	-20.0	200	1	1	1785.5345	1	
89	0	1795.9264	0	437	2761	2975	4263	701	-6.0	200	0	0	1798.7527	1	
90	0	1810.5062	0	936	1551	2975	4263	726	-6.5	200	1	0	1812.4471	0	
91	1	1827.1935	1	936	1551	2975	4263	726	-6.5	200	1	1	1828.7642	1	
92	0	1843.4595	1	437	2761	2975	4263	551	3.0	200	0	1	1856.1804	0	
