Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	
1	0	7.0608	0	460	1105	2857	4205	506	-12.0	200	0	0	13.4769	1	
2	0	21.2358	0	460	1105	2857	4205	503	-12.0	330	0	1	21.8491	0	
3	1	49.7735	0	460	1105	2857	4205	503	-12.0	330	0	0	52.0483	1	
4	0	57.5345	0	460	1105	2857	4205	504	-12.0	149	0	0	58.4532	1	
5	0	64.1873	0	730	2058	2857	4205	507	-14.0	263	1	1	64.7592	1	
6	0	69.0094	0	579	1508	2857	4205	501	-12.0	200	-1	1	69.9987	-1	
7	0	83.4170	0	730	2058	2857	4205	508	-14.0	263	1	0	86.3084	0	
8	1	106.9848	0	730	2058	2857	4205	508	-14.0	263	1	1	107.8115	1	
9	0	119.1307	0	460	1105	2857	4205	502	-12.0	200	0	0	120.1164	1	
10	0	125.8730	0	730	2058	2857	4205	509	-14.0	459	1	0	127.0070	0	
11	1	136.2382	0	730	2058	2857	4205	509	-14.0	459	1	0	137.6733	0	
12	1	147.4132	0	730	2058	2857	4205	509	-14.0	459	1	1	148.3647	1	
13	0	154.2741	0	730	2058	2857	4205	510	-14.0	330	1	1	155.1555	1	
14	0	162.0223	0	730	2058	2857	4205	511	-14.0	149	1	1	162.5678	1	
15	0	173.3101	0	460	1105	2857	4205	509	-12.0	459	0	0	173.9740	1	
16	0	180.0635	0	460	1105	2857	4205	506	-12.0	200	0	0	180.9642	1	
17	0	186.4852	0	730	2058	2857	4205	511	-14.0	149	1	1	187.3615	1	
18	0	193.1769	0	460	1105	2857	4205	503	-12.0	330	0	0	193.8682	1	
19	0	199.9825	0	460	1105	2857	4205	504	-12.0	263	0	0	200.9391	1	
20	0	207.1884	0	460	1105	2857	4205	508	-12.0	330	0	0	207.9544	1	
21	0	213.5722	0	730	2058	2857	4205	501	-14.0	200	1	1	214.4216	1	
22	0	218.8155	0	730	2058	2857	4205	510	-14.0	149	1	0	220.1688	0	
23	1	230.9365	0	730	2058	2857	4205	510	-14.0	149	1	1	231.6575	1	
24	0	238.6245	0	730	2058	2857	4205	502	-14.0	459	1	0	239.7234	0	
25	1	249.3574	0	730	2058	2857	4205	502	-14.0	459	1	1	250.0922	1	
26	0	253.6984	0	730	2058	2857	4205	507	-14.0	263	1	1	254.3069	1	
27	0	258.9664	0	730	2058	2857	4205	503	-14.0	149	1	1	259.6846	1	
28	0	266.7426	0	460	1105	2857	4205	507	-12.0	459	0	0	267.5878	1	
29	0	272.9003	0	730	2058	2857	4205	506	-14.0	263	1	1	273.9943	1	
30	0	279.0027	0	460	1105	2857	4205	502	-12.0	200	0	0	280.0277	1	
31	0	285.3849	0	460	1105	2857	4205	511	-12.0	330	0	0	286.2924	1	
32	0	292.0745	0	579	1508	2857	4205	501	-12.0	200	-1	1	293.0375	-1	
33	0	296.2993	0	730	2058	2857	4205	505	-14.0	200	1	1	297.0490	1	
34	0	301.8218	0	730	2058	2857	4205	501	-14.0	330	1	1	302.7687	1	
35	0	308.9053	0	730	2058	2857	4205	509	-14.0	459	1	1	309.7834	1	
36	0	314.3201	0	730	2058	2857	4205	510	-14.0	149	1	0	315.5483	0	
37	1	323.1956	0	730	2058	2857	4205	510	-14.0	149	1	1	323.9416	1	
38	0	331.7263	0	730	2058	2857	4205	505	-14.0	330	1	1	332.7827	1	
39	0	339.5373	0	460	1105	2857	4205	503	-12.0	149	0	0	340.6244	1	
40	0	345.9325	0	460	1105	2857	4205	511	-12.0	459	0	0	346.8983	1	
41	0	352.3778	0	460	1105	2857	4205	506	-12.0	200	0	0	353.3866	1	
42	0	359.4539	0	460	1105	2857	4205	507	-12.0	263	0	0	360.5512	1	
43	0	365.8585	0	460	1105	2857	4205	508	-12.0	200	0	0	367.0168	1	
44	0	372.1878	0	579	1508	2857	4205	501	-12.0	200	-1	0	373.3543	-1	
45	0	378.7613	0	730	2058	2857	4205	501	-14.0	149	1	1	379.5664	1	
46	0	382.7792	0	460	1105	2857	4205	510	-12.0	459	0	0	383.9106	1	
47	0	390.5337	0	460	1105	2857	4205	502	-12.0	330	0	0	391.7514	1	
48	0	397.5397	0	730	2058	2857	4205	510	-14.0	149	1	1	398.1784	1	
49	0	402.3966	0	460	1105	2857	4205	507	-12.0	263	0	0	403.5200	1	
50	0	409.2993	1	460	1105	2857	4205	506	-12.0	330	0	0	410.2994	1	
51	0	415.5404	0	460	1105	2857	4205	508	-12.0	459	0	0	416.6773	1	
52	0	422.1423	0	730	2058	2857	4205	505	-14.0	200	1	1	422.8428	1	
53	0	426.5870	0	730	2058	2857	4205	509	-14.0	200	1	1	427.4775	1	
54	0	431.2814	1	730	2058	2857	4205	504	-14.0	330	1	1	434.4959	1	
55	0	439.9687	0	460	1105	2857	4205	511	-12.0	149	0	0	441.4813	1	
56	0	446.4937	0	460	1105	2857	4205	503	-12.0	459	0	0	447.7134	1	
57	0	452.3921	0	460	1105	2857	4205	501	-12.0	263	0	0	453.6104	1	
58	0	459.5069	1	730	2058	2857	4205	503	-14.0	330	1	1	460.2477	1	
59	0	462.9958	0	730	2058	2857	4205	505	-14.0	200	1	1	465.9800	1	
60	0	468.5966	1	730	2058	2857	4205	507	-14.0	459	1	0	474.0189	0	
61	1	491.6418	0	730	2058	2857	4205	507	-14.0	459	1	1	492.8098	1	
62	0	500.1045	0	730	2058	2857	4205	504	-14.0	263	1	1	501.1177	1	
63	0	509.5906	0	460	1105	2857	4205	510	-12.0	149	0	0	511.1776	1	
64	0	515.4499	0	579	1508	2857	4205	501	-12.0	200	-1	1	517.2515	-1	
65	0	519.3168	0	460	1105	2857	4205	506	-12.0	330	0	0	520.4335	1	
66	0	525.9665	0	460	1105	2857	4205	501	-12.0	459	0	0	527.4323	1	
67	0	533.3239	0	460	1105	2857	4205	511	-12.0	149	0	0	534.2226	1	
68	0	540.0477	0	730	2058	2857	4205	508	-14.0	200	1	1	540.6089	1	
69	0	543.3896	0	460	1105	2857	4205	509	-12.0	459	0	0	544.4791	1	
70	0	549.7025	0	730	2058	2857	4205	508	-14.0	330	1	1	550.5778	1	
71	0	558.6567	1	730	2058	2857	4205	503	-14.0	263	1	1	562.5063	1	
72	0	565.7998	0	579	1508	2857	4205	501	-12.0	200	-1	0	567.5173	-1	
73	0	573.5172	0	460	1105	2857	4205	504	-12.0	200	0	1	574.8088	0	
74	1	584.4693	0	460	1105	2857	4205	504	-12.0	200	0	0	586.2438	1	
75	0	591.4937	0	730	2058	2857	4205	510	-14.0	330	1	1	592.5077	1	
76	0	595.3665	0	730	2058	2857	4205	511	-14.0	459	1	0	596.8861	0	
77	1	605.1708	1	730	2058	2857	4205	511	-14.0	459	1	1	608.6169	1	
78	0	612.2506	0	730	2058	2857	4205	505	-14.0	263	1	1	613.2491	1	
79	0	616.8995	0	460	1105	2857	4205	501	-12.0	200	0	0	618.0024	1	
80	0	622.6156	0	460	1105	2857	4205	507	-12.0	149	0	0	624.1321	1	
81	0	629.7340	0	730	2058	2857	4205	510	-14.0	149	1	1	630.9092	1	
82	0	633.6681	0	460	1105	2857	4205	501	-12.0	459	0	0	634.9511	1	
83	0	640.4027	0	460	1105	2857	4205	506	-12.0	263	0	0	641.5064	1	
84	0	647.0414	1	730	2058	2857	4205	502	-14.0	200	1	1	647.7254	1	
85	0	650.6754	0	730	2058	2857	4205	503	-14.0	330	1	1	653.8124	1	
86	0	656.7011	0	460	1105	2857	4205	508	-12.0	149	0	0	658.0444	1	
87	0	664.3332	0	460	1105	2857	4205	505	-12.0	200	0	0	665.8205	1	
88	0	670.9651	0	460	1105	2857	4205	507	-12.0	459	0	0	671.8546	1	
89	0	683.2762	0	730	2058	2857	4205	511	-14.0	263	1	1	684.1958	1	
90	0	688.9193	0	460	1105	2857	4205	504	-12.0	330	0	0	690.3236	1	
91	0	695.7282	0	579	1508	2857	4205	501	-12.0	200	-1	1	697.4523	-1	
92	0	700.1962	0	730	2058	2857	4205	510	-14.0	459	1	0	701.0855	0	
93	1	713.0169	0	730	2058	2857	4205	510	-14.0	459	1	1	714.0088	1	
94	0	719.9718	0	730	2058	2857	4205	508	-14.0	263	1	1	721.0536	1	
95	0	727.1454	0	460	1105	2857	4205	511	-12.0	149	0	0	728.3590	1	
96	0	734.2952	0	730	2058	2857	4205	509	-14.0	200	1	1	735.1514	1	
97	0	738.5785	0	730	2058	2857	4205	503	-14.0	330	1	1	739.3639	1	
98	0	744.2687	1	460	1105	2857	4205	507	-12.0	200	0	1	748.7081	0	
