Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	
1	0	9.3629	0	437	2761	2975	4263	502	-12.0	263	0	1	10.1572	0	
2	1	20.5165	0	437	2761	2975	4263	502	-12.0	263	0	1	21.2298	0	
3	1	28.3271	0	437	2761	2975	4263	502	-12.0	263	0	0	29.2721	1	
4	0	39.1243	0	936	1551	2975	4263	511	-17.0	200	1	0	40.1939	0	
5	1	48.0948	1	936	1551	2975	4263	511	-17.0	200	1	1	48.6941	1	
6	0	53.1256	0	437	2761	2975	4263	507	-12.0	149	0	1	55.8842	0	
7	1	60.6607	1	437	2761	2975	4263	507	-12.0	149	0	1	61.7643	0	
8	1	69.8665	0	437	2761	2975	4263	507	-12.0	149	0	1	70.7077	0	
9	1	75.8459	0	437	2761	2975	4263	507	-12.0	149	0	0	76.4468	1	
10	0	81.9183	0	936	1551	2975	4263	501	-17.0	200	1	0	83.4046	0	
11	1	88.7561	0	936	1551	2975	4263	501	-17.0	200	1	0	89.9169	0	
12	1	95.9963	1	936	1551	2975	4263	501	-17.0	200	1	1	96.9600	1	
13	0	100.7413	0	437	2761	2975	4263	503	-12.0	263	0	0	103.5413	1	
14	0	108.8921	1	936	1551	2975	4263	505	-17.0	149	1	1	112.7958	1	
15	0	116.5475	0	640	2069	2857	4205	501	-12.0	200	-1	1	117.4396	-1	
16	0	121.6153	1	437	2761	2975	4263	504	-12.0	149	0	1	122.4705	0	
17	1	128.9000	0	437	2761	2975	4263	504	-12.0	149	0	0	129.5046	1	
18	0	135.7792	0	936	1551	2975	4263	506	-17.0	263	1	1	136.5375	1	
19	0	140.6371	1	437	2761	2975	4263	509	-12.0	200	0	1	141.2584	0	
20	1	148.9280	0	437	2761	2975	4263	509	-12.0	200	0	1	149.5365	0	
21	1	153.7400	0	437	2761	2975	4263	509	-12.0	200	0	1	154.5123	0	
22	1	159.1787	0	437	2761	2975	4263	509	-12.0	200	0	0	160.2149	1	
23	0	166.1546	1	936	1551	2975	4263	503	-17.0	263	1	0	170.5329	0	
24	1	176.7584	0	936	1551	2975	4263	503	-17.0	263	1	1	177.6100	1	
25	0	181.7518	0	936	1551	2975	4263	502	-17.0	149	1	1	182.6785	1	
26	0	186.7891	0	437	2761	2975	4263	501	-12.0	263	0	0	187.7479	1	
27	0	193.0754	0	936	1551	2975	4263	504	-17.0	200	1	1	194.1704	1	
28	0	198.9563	0	936	1551	2975	4263	505	-17.0	149	1	1	199.8517	1	
29	0	204.7103	1	437	2761	2975	4263	506	-12.0	149	0	1	205.4884	0	
30	1	211.1186	0	437	2761	2975	4263	506	-12.0	149	0	0	212.6723	1	
31	0	218.8757	0	437	2761	2975	4263	507	-12.0	263	0	1	220.0903	0	
32	1	225.7568	0	437	2761	2975	4263	507	-12.0	263	0	1	226.6321	0	
33	1	230.3530	1	437	2761	2975	4263	507	-12.0	263	0	1	231.1827	0	
