Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	
1	0	14.6081	0	730	2058	2857	4205	751	-14.0	330	1	1	15.0588	1	
2	0	27.1047	0	460	1105	2857	4205	651	-12.0	459	0	0	27.6522	1	
3	0	47.1869	1	460	1105	2857	4205	951	-12.0	149	0	0	47.6251	1	
4	0	54.7359	0	460	1105	2857	4205	901	-12.0	200	0	0	57.9411	1	
5	0	65.3128	0	460	1105	2857	4205	551	-12.0	459	0	0	66.2183	1	
6	0	73.3979	0	730	2058	2857	4205	501	-14.0	200	1	1	73.9963	1	
7	0	83.8465	0	730	2058	2857	4205	1001	-14.0	149	1	1	84.2318	1	
8	0	93.4368	0	460	1105	2857	4205	701	-12.0	263	0	1	94.1424	0	
9	1	101.2053	1	460	1105	2857	4205	701	-12.0	263	0	1	105.1807	0	
10	1	111.0623	0	460	1105	2857	4205	701	-12.0	263	0	0	111.4431	1	
11	0	117.3415	1	730	2058	2857	4205	601	-14.0	330	1	1	117.8051	1	
12	0	122.1472	0	730	2058	2857	4205	551	-14.0	200	1	1	127.0545	1	
13	0	132.6874	0	460	1105	2857	4205	1001	-12.0	263	0	0	133.4694	1	
14	0	144.7630	1	730	2058	2857	4205	901	-14.0	149	1	1	145.1984	1	
15	0	150.3657	0	579	1508	2857	4205	501	-12.0	200	-1	1	155.0352	-1	
16	0	159.4302	1	460	1105	2857	4205	501	-12.0	330	0	0	160.4434	1	
17	0	166.3565	0	730	2058	2857	4205	651	-14.0	200	1	1	170.0235	1	
18	0	174.9836	0	730	2058	2857	4205	601	-14.0	459	1	1	175.5263	1	
19	0	182.3732	0	730	2058	2857	4205	751	-14.0	330	1	1	183.4414	1	
20	0	188.2629	0	460	1105	2857	4205	801	-12.0	149	0	0	189.3316	1	
21	0	198.8787	0	730	2058	2857	4205	951	-14.0	263	1	1	199.4217	1	
22	0	204.0169	1	460	1105	2857	4205	751	-12.0	459	0	0	204.9639	1	
23	0	209.0023	0	460	1105	2857	4205	801	-12.0	263	0	0	213.1079	1	
24	0	220.5508	0	730	2058	2857	4205	701	-14.0	149	1	0	221.6874	0	
25	1	229.0096	0	730	2058	2857	4205	701	-14.0	149	1	1	229.4025	1	
26	0	234.4508	1	460	1105	2857	4205	601	-12.0	200	0	1	238.8135	0	
27	1	245.9531	0	460	1105	2857	4205	601	-12.0	200	0	0	246.3198	1	
28	0	251.2910	0	730	2058	2857	4205	501	-14.0	330	1	1	251.7412	1	
29	0	256.6119	0	730	2058	2857	4205	851	-14.0	330	1	1	257.0697	1	
30	0	262.7135	0	579	1508	2857	4205	501	-12.0	200	-1	1	263.5248	-1	
31	0	278.0312	0	460	1105	2857	4205	951	-12.0	459	0	0	278.3800	1	
32	0	285.2358	0	460	1105	2857	4205	551	-12.0	263	0	1	285.7503	0	
33	1	296.8163	0	460	1105	2857	4205	551	-12.0	263	0	0	297.9859	1	
34	0	310.2083	0	460	1105	2857	4205	901	-12.0	200	0	0	310.6036	1	
35	0	323.5329	0	730	2058	2857	4205	701	-14.0	263	1	1	323.9650	1	
36	0	331.7032	0	730	2058	2857	4205	801	-14.0	149	1	1	332.0987	1	
37	0	338.4670	0	460	1105	2857	4205	1001	-12.0	200	0	0	338.9659	1	
38	0	342.8296	0	460	1105	2857	4205	651	-12.0	459	0	0	343.2330	1	
39	0	351.7424	0	730	2058	2857	4205	901	-14.0	330	1	1	352.1925	1	
40	0	357.2427	0	730	2058	2857	4205	551	-14.0	200	1	1	357.6496	1	
41	0	365.2064	0	730	2058	2857	4205	851	-14.0	263	1	1	365.7250	1	
42	0	370.6659	0	579	1508	2857	4205	501	-12.0	200	-1	1	371.4859	-1	
43	0	384.5161	0	460	1105	2857	4205	951	-12.0	149	0	0	385.0047	1	
44	0	393.2886	1	460	1105	2857	4205	751	-12.0	459	0	0	397.1484	1	
45	0	402.4730	0	460	1105	2857	4205	501	-12.0	149	0	0	403.2235	1	
46	0	409.3610	0	730	2058	2857	4205	601	-14.0	263	1	1	409.7511	1	
47	0	415.9583	0	730	2058	2857	4205	901	-14.0	459	1	1	416.6910	1	
48	0	422.2758	0	460	1105	2857	4205	1001	-12.0	200	0	0	422.6027	1	
49	0	428.5455	0	460	1105	2857	4205	701	-12.0	330	0	1	429.6310	0	
50	1	437.9826	0	460	1105	2857	4205	701	-12.0	330	0	0	439.0022	1	
51	0	448.7499	0	730	2058	2857	4205	951	-14.0	330	1	1	449.4868	1	
52	0	458.9271	0	730	2058	2857	4205	751	-14.0	263	1	1	459.5069	1	
53	0	465.4733	0	579	1508	2857	4205	501	-12.0	200	-1	1	466.4193	-1	
54	0	475.5239	0	460	1105	2857	4205	801	-12.0	200	0	0	475.9469	1	
55	0	483.5293	0	730	2058	2857	4205	651	-14.0	459	1	1	483.8647	1	
56	0	488.0225	0	730	2058	2857	4205	701	-14.0	459	1	1	488.4167	1	
57	0	493.2666	0	460	1105	2857	4205	551	-12.0	330	0	1	494.2306	0	
58	1	501.5090	0	460	1105	2857	4205	551	-12.0	330	0	0	502.1160	1	
59	0	507.8268	1	460	1105	2857	4205	601	-12.0	149	0	1	508.4120	0	
60	1	515.4473	0	460	1105	2857	4205	601	-12.0	149	0	0	516.4199	1	
61	0	526.0631	0	460	1105	2857	4205	1001	-12.0	263	0	0	526.4812	1	
62	0	532.1172	0	730	2058	2857	4205	501	-14.0	200	1	1	532.8446	1	
63	0	539.9384	0	730	2058	2857	4205	651	-14.0	149	1	1	540.3991	1	
64	0	551.4649	0	460	1105	2857	4205	851	-12.0	200	0	0	552.0758	1	
65	0	560.7961	0	460	1105	2857	4205	751	-12.0	263	0	0	561.3792	1	
66	0	567.2550	0	460	1105	2857	4205	801	-12.0	330	0	0	568.0941	1	
67	0	580.8431	0	730	2058	2857	4205	951	-14.0	459	1	1	581.2298	1	
68	0	586.0064	0	730	2058	2857	4205	1001	-14.0	263	1	1	586.3983	1	
69	0	591.2952	0	730	2058	2857	4205	601	-14.0	459	1	1	592.2433	1	
70	0	596.0192	1	579	1508	2857	4205	501	-12.0	200	-1	1	600.0428	-1	
71	0	605.0522	0	460	1105	2857	4205	551	-12.0	149	0	0	606.4465	1	
72	0	612.2685	0	730	2058	2857	4205	851	-14.0	330	1	1	613.1027	1	
73	0	626.6226	0	460	1105	2857	4205	951	-12.0	459	0	0	627.1067	1	
74	0	635.3125	0	730	2058	2857	4205	651	-14.0	330	1	1	635.8786	1	
75	0	639.7417	0	579	1508	2857	4205	501	-12.0	200	-1	1	640.7024	-1	
76	0	644.5693	0	460	1105	2857	4205	801	-12.0	149	0	0	645.0152	1	
77	0	651.1109	0	730	2058	2857	4205	701	-14.0	200	1	0	652.4837	0	
78	1	660.1930	0	730	2058	2857	4205	701	-14.0	200	1	1	660.6281	1	
79	0	663.8865	0	460	1105	2857	4205	551	-12.0	459	0	0	664.2031	1	
80	0	672.7471	1	730	2058	2857	4205	801	-14.0	200	1	1	673.3455	1	
81	0	678.3168	0	460	1105	2857	4205	701	-12.0	263	0	1	682.4926	0	
82	1	689.6735	1	460	1105	2857	4205	701	-12.0	263	0	0	693.9320	1	
83	0	699.3246	0	460	1105	2857	4205	851	-12.0	149	0	0	700.1415	1	
84	0	705.4909	1	730	2058	2857	4205	501	-14.0	330	1	1	705.9150	1	
85	0	710.6687	0	730	2058	2857	4205	1001	-14.0	263	1	1	713.8746	1	
86	0	719.5169	1	460	1105	2857	4205	751	-12.0	330	0	1	723.9258	0	
87	1	730.4593	0	460	1105	2857	4205	751	-12.0	330	0	0	731.1743	1	
88	0	736.0057	1	579	1508	2857	4205	501	-12.0	200	-1	0	740.0239	-1	
89	0	745.8830	0	460	1105	2857	4205	601	-12.0	200	0	0	746.3212	1	
90	0	750.8633	0	730	2058	2857	4205	651	-14.0	459	1	1	751.3323	1	
91	0	756.8175	0	730	2058	2857	4205	801	-14.0	459	1	1	757.7586	1	
92	0	765.3144	0	730	2058	2857	4205	901	-14.0	263	1	1	765.7632	1	
93	0	770.7743	0	730	2058	2857	4205	551	-14.0	200	1	1	771.6272	1	
94	0	777.5058	0	460	1105	2857	4205	851	-12.0	330	0	0	777.9293	1	
95	0	784.5721	0	460	1105	2857	4205	1001	-12.0	149	0	0	785.0520	1	
96	0	790.7711	0	460	1105	2857	4205	501	-12.0	149	0	0	791.5110	1	
97	0	802.9759	0	460	1105	2857	4205	751	-12.0	263	0	1	803.6889	0	
98	1	812.3809	0	460	1105	2857	4205	751	-12.0	263	0	0	813.0562	1	
99	0	817.5618	0	730	2058	2857	4205	601	-14.0	200	1	1	817.9909	1	
100	0	821.6742	0	730	2058	2857	4205	701	-14.0	330	1	1	822.1709	1	
101	0	827.4036	0	730	2058	2857	4205	651	-14.0	459	1	1	828.0791	1	
102	0	832.8558	0	460	1105	2857	4205	701	-12.0	459	0	0	833.3144	1	
103	0	837.4494	0	579	1508	2857	4205	501	-12.0	200	-1	1	838.3934	-1	
104	0	842.3723	0	730	2058	2857	4205	1001	-14.0	149	1	1	842.7452	1	
105	0	847.6585	0	460	1105	2857	4205	601	-12.0	200	0	0	848.1513	1	
106	0	852.3188	0	460	1105	2857	4205	551	-12.0	330	0	0	853.1843	1	
107	0	857.9085	0	460	1105	2857	4205	501	-12.0	149	0	0	858.4162	1	
