Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	
1	0	4.5190	1	730	2058	2857	4205	510	-14.0	263	1	0	12.3545	0	
2	1	22.8974	0	730	2058	2857	4205	510	-14.0	263	1	1	23.3070	1	
3	0	28.0643	0	730	2058	2857	4205	511	-14.0	149	1	1	28.5176	1	
4	0	33.0676	0	730	2058	2857	4205	501	-14.0	200	1	1	33.4927	1	
5	0	38.3549	0	460	1105	2857	4205	502	-12.0	330	0	1	38.6722	0	
6	1	45.4665	0	460	1105	2857	4205	502	-12.0	330	0	1	45.8724	0	
7	1	52.7496	0	460	1105	2857	4205	502	-12.0	330	0	1	53.2466	0	
8	1	59.1452	0	460	1105	2857	4205	502	-12.0	330	0	1	59.4925	0	
9	1	66.4741	1	460	1105	2857	4205	502	-12.0	330	0	1	66.8465	0	
10	1	74.4694	0	460	1105	2857	4205	502	-12.0	330	0	1	74.8190	0	
11	1	82.8472	0	460	1105	2857	4205	502	-12.0	330	0	1	83.1994	0	
12	1	90.0586	0	460	1105	2857	4205	502	-12.0	330	0	1	90.4409	0	
13	1	96.2199	0	460	1105	2857	4205	502	-12.0	330	0	1	96.8493	0	
14	1	104.0416	1	460	1105	2857	4205	502	-12.0	330	0	1	104.4924	0	
15	1	111.2392	0	460	1105	2857	4205	502	-12.0	330	0	0	111.7577	1	
16	0	118.7483	0	460	1105	2857	4205	503	-12.0	330	0	1	119.2354	0	
17	1	126.7172	0	460	1105	2857	4205	503	-12.0	330	0	1	127.2223	0	
18	1	135.3426	0	460	1105	2857	4205	503	-12.0	330	0	0	136.7543	1	
19	0	142.4675	0	460	1105	2857	4205	506	-12.0	263	0	0	143.1594	1	
20	0	147.5757	0	460	1105	2857	4205	505	-12.0	149	0	1	148.0101	0	
21	1	155.9454	0	460	1105	2857	4205	505	-12.0	149	0	0	156.9442	1	
22	0	162.6384	0	460	1105	2857	4205	508	-12.0	200	0	0	163.3637	1	
23	0	168.8621	1	730	2058	2857	4205	504	-14.0	459	1	0	169.2360	0	
24	1	177.7153	0	730	2058	2857	4205	504	-14.0	459	1	0	178.7843	0	
25	1	188.0497	0	730	2058	2857	4205	504	-14.0	459	1	0	188.9330	0	
26	1	195.3162	0	730	2058	2857	4205	504	-14.0	459	1	0	196.2316	0	
27	1	203.2792	0	730	2058	2857	4205	504	-14.0	459	1	1	203.6363	1	
28	0	208.3407	0	730	2058	2857	4205	508	-14.0	330	1	0	209.1266	0	
29	1	216.9366	0	730	2058	2857	4205	508	-14.0	330	1	0	217.4272	0	
30	1	226.2666	0	730	2058	2857	4205	508	-14.0	330	1	1	226.6230	1	
31	0	231.9930	0	460	1105	2857	4205	510	-12.0	149	0	1	232.2146	0	
32	1	239.4023	0	460	1105	2857	4205	510	-12.0	149	0	1	239.7336	0	
33	1	245.7174	0	460	1105	2857	4205	510	-12.0	149	0	1	246.2592	0	
34	1	252.7628	0	460	1105	2857	4205	510	-12.0	149	0	1	253.3323	0	
35	1	260.9177	1	460	1105	2857	4205	510	-12.0	149	0	1	261.3131	0	
36	1	267.9029	1	460	1105	2857	4205	510	-12.0	149	0	1	268.6368	0	
37	1	275.7932	0	460	1105	2857	4205	510	-12.0	149	0	1	276.2060	0	
38	1	284.1485	0	460	1105	2857	4205	510	-12.0	149	0	1	284.7385	0	
39	1	291.8012	1	460	1105	2857	4205	510	-12.0	149	0	0	293.0907	1	
40	0	298.6349	0	730	2058	2857	4205	509	-14.0	459	1	0	301.9099	0	
41	1	308.8194	0	730	2058	2857	4205	509	-14.0	459	1	0	309.9148	0	
42	1	316.7578	0	730	2058	2857	4205	509	-14.0	459	1	1	317.1193	1	
43	0	321.5102	0	730	2058	2857	4205	503	-14.0	263	1	0	322.4078	0	
44	1	328.7405	0	730	2058	2857	4205	503	-14.0	263	1	0	329.4888	0	
45	1	347.3537	0	730	2058	2857	4205	503	-14.0	263	1	1	347.7005	1	
46	0	354.0901	0	730	2058	2857	4205	501	-14.0	200	1	1	354.5376	1	
47	0	358.6614	0	730	2058	2857	4205	506	-14.0	200	1	1	358.9322	1	
48	0	374.9519	0	460	1105	2857	4205	505	-12.0	459	0	1	375.2659	0	
49	1	397.9394	0	460	1105	2857	4205	505	-12.0	459	0	1	398.4709	0	
50	1	405.1965	0	460	1105	2857	4205	505	-12.0	459	0	1	405.5092	0	
51	1	440.5090	1	460	1105	2857	4205	505	-12.0	459	0	1	440.9621	0	
52	1	447.3831	0	460	1105	2857	4205	505	-12.0	459	0	1	447.9111	0	
53	1	500.6831	0	460	1105	2857	4205	505	-12.0	459	0	1	501.1417	0	
54	1	548.7344	0	460	1105	2857	4205	505	-12.0	459	0	0	549.6889	1	
55	0	557.2099	0	460	1105	2857	4205	507	-12.0	263	0	1	557.9836	0	
56	1	563.8118	0	460	1105	2857	4205	507	-12.0	263	0	0	564.9588	1	
57	0	570.9527	0	730	2058	2857	4205	511	-14.0	149	1	0	571.9168	0	
58	1	578.9602	0	730	2058	2857	4205	511	-14.0	149	1	0	579.6903	0	
59	1	588.1433	0	730	2058	2857	4205	511	-14.0	149	1	0	589.1528	0	
60	1	597.4435	0	730	2058	2857	4205	511	-14.0	149	1	1	597.8814	1	
61	0	605.3336	0	730	2058	2857	4205	504	-14.0	330	1	0	606.3121	0	
62	1	611.8671	0	730	2058	2857	4205	504	-14.0	330	1	0	612.2880	0	
63	1	622.6070	0	730	2058	2857	4205	504	-14.0	330	1	1	623.0027	1	
64	0	631.3238	0	460	1105	2857	4205	503	-12.0	263	0	1	631.6980	0	
65	1	638.7539	0	460	1105	2857	4205	503	-12.0	263	0	1	639.1842	0	
66	1	644.9783	0	460	1105	2857	4205	503	-12.0	263	0	1	645.3113	0	
67	1	662.2197	0	460	1105	2857	4205	503	-12.0	263	0	1	662.7422	0	
68	1	676.7338	0	460	1105	2857	4205	503	-12.0	263	0	0	677.3600	1	
69	0	683.5362	0	460	1105	2857	4205	508	-12.0	200	0	1	684.0749	0	
70	1	693.1230	0	460	1105	2857	4205	508	-12.0	200	0	1	693.5361	0	
71	1	713.1508	0	460	1105	2857	4205	508	-12.0	200	0	1	718.6738	0	
72	1	779.8084	1	460	1105	2857	4205	508	-12.0	200	0	0	784.6248	1	
73	0	792.0700	0	460	1105	2857	4205	505	-12.0	149	0	0	797.7404	1	
74	0	802.4768	0	460	1105	2857	4205	501	-12.0	330	0	0	803.3574	1	
75	0	808.2023	0	579	1508	2857	4205	501	-12.0	200	-1	0	809.2734	-1	
76	0	814.5032	0	730	2058	2857	4205	507	-14.0	263	1	0	814.9803	0	
77	1	848.6941	1	730	2058	2857	4205	507	-14.0	263	1	0	849.6978	0	
