Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	
1	0	7.2836	0	437	2761	2975	4263	531	-12.0	200	0	0	33.2718	1	
2	0	43.1779	0	936	1551	2975	4263	601	-17.0	330	1	0	45.1151	0	
3	1	57.6880	1	936	1551	2975	4263	601	-17.0	330	1	0	63.1167	0	
4	1	72.6043	0	936	1551	2975	4263	601	-17.0	330	1	1	75.1416	1	
5	0	76.2200	0	936	1551	2975	4263	571	-17.0	200	1	0	82.9620	0	
6	1	111.4798	0	936	1551	2975	4263	571	-17.0	200	1	0	123.0773	0	
7	1	131.6465	1	936	1551	2975	4263	571	-17.0	200	1	1	136.6926	1	
8	0	150.9185	0	936	1551	2975	4263	541	-17.0	330	1	0	154.9693	0	
9	1	165.6476	1	936	1551	2975	4263	541	-17.0	330	1	0	167.0747	0	
10	1	182.2425	0	936	1551	2975	4263	541	-17.0	330	1	0	185.1431	0	
11	1	193.3528	0	936	1551	2975	4263	541	-17.0	330	1	0	194.0936	0	
12	1	204.8217	0	936	1551	2975	4263	541	-17.0	330	1	0	206.3979	0	
13	1	217.1079	0	936	1551	2975	4263	541	-17.0	330	1	0	220.3020	0	
14	1	230.0805	0	936	1551	2975	4263	541	-17.0	330	1	0	231.3243	0	
15	1	242.2009	1	936	1551	2975	4263	541	-17.0	330	1	0	265.8519	0	
16	1	275.2213	0	936	1551	2975	4263	541	-17.0	330	1	0	280.3667	0	
17	1	291.1130	0	936	1551	2975	4263	541	-17.0	330	1	0	296.3558	0	
18	1	306.6358	0	936	1551	2975	4263	541	-17.0	330	1	1	307.7953	1	
19	0	318.3957	1	437	2761	2975	4263	561	-12.0	200	0	1	344.2188	0	
20	1	354.0496	0	437	2761	2975	4263	561	-12.0	200	0	0	359.1866	1	
21	0	399.9059	0	936	1551	2975	4263	521	-17.0	330	1	0	401.3782	0	
22	1	410.3202	0	936	1551	2975	4263	521	-17.0	330	1	0	411.5103	0	
23	1	428.1350	0	936	1551	2975	4263	521	-17.0	330	1	1	450.3174	1	
24	0	465.5737	0	437	2761	2975	4263	501	-12.0	330	0	0	467.5148	1	
25	0	473.1655	0	936	1551	2975	4263	511	-17.0	200	1	1	478.4783	1	
26	0	482.9749	0	437	2761	2975	4263	581	-12.0	200	0	1	489.5014	0	
27	1	499.1414	1	437	2761	2975	4263	581	-12.0	200	0	0	546.6582	1	
28	0	562.3971	0	437	2761	2975	4263	551	-12.0	330	0	0	563.6135	1	
29	0	580.2773	0	437	2761	2975	4263	541	-12.0	200	0	0	581.1511	1	
30	0	594.4218	0	437	2761	2975	4263	501	-12.0	330	0	0	595.0950	1	
31	0	604.8893	0	437	2761	2975	4263	571	-12.0	330	0	0	605.4229	1	
32	0	615.0320	0	936	1551	2975	4263	531	-17.0	200	1	0	615.8396	0	
33	1	625.2438	1	936	1551	2975	4263	531	-17.0	200	1	0	626.9459	0	
34	1	637.0293	0	936	1551	2975	4263	531	-17.0	200	1	0	638.5525	0	
