Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	
1	0	6.5482	0	730	2058	2857	4205	681	-14.0	149	0	1	7.5575	0	
2	1	18.8101	0	730	2058	2857	4205	681	-14.0	149	0	0	22.8375	1	
3	0	29.4512	0	730	2058	2857	4205	651	-14.0	263	0	0	30.7451	1	
4	0	35.6215	0	460	1105	2857	4205	771	-12.0	200	1	1	36.2728	1	
5	0	39.9838	0	730	2058	2857	4205	621	-14.0	330	0	1	40.4685	0	
6	1	47.2837	0	730	2058	2857	4205	621	-14.0	330	0	0	48.3004	1	
7	0	53.8114	0	460	1105	2857	4205	741	-12.0	263	1	1	54.2301	1	
8	0	58.6566	0	460	1105	2857	4205	501	-12.0	149	1	1	59.0689	1	
9	0	62.8817	0	460	1105	2857	4205	591	-12.0	330	1	1	63.2799	1	
10	0	73.8577	0	730	2058	2857	4205	711	-14.0	459	0	0	74.7079	1	
11	0	79.0845	0	730	2058	2857	4205	561	-14.0	200	0	0	79.7508	1	
12	0	89.0791	0	730	2058	2857	4205	801	-14.0	149	0	0	89.5213	1	
13	0	94.3409	0	595	1582	2857	4205	501	-12.0	200	-1	1	95.2234	-1	
14	0	98.8063	0	460	1105	2857	4205	771	-12.0	330	1	1	99.3058	1	
15	0	102.3525	0	730	2058	2857	4205	561	-14.0	263	0	0	103.2954	1	
16	0	108.4604	0	730	2058	2857	4205	501	-14.0	459	0	0	109.3208	1	
17	0	119.3649	0	460	1105	2857	4205	681	-12.0	149	1	1	119.7470	1	
18	0	123.4200	0	460	1105	2857	4205	651	-12.0	263	1	1	123.7383	1	
19	0	127.3848	0	460	1105	2857	4205	591	-12.0	459	1	1	127.9484	1	
20	0	131.2808	0	730	2058	2857	4205	531	-14.0	200	0	1	131.7747	0	
21	1	136.6994	0	730	2058	2857	4205	531	-14.0	200	0	0	137.4184	1	
22	0	141.7676	1	460	1105	2857	4205	741	-12.0	330	1	1	142.3685	1	
23	0	146.0659	0	460	1105	2857	4205	531	-12.0	149	1	1	146.6658	1	
24	0	150.1480	0	730	2058	2857	4205	591	-14.0	330	0	0	151.8650	1	
25	0	155.7646	0	730	2058	2857	4205	561	-14.0	459	0	0	156.3976	1	
26	0	160.5794	0	730	2058	2857	4205	801	-14.0	200	0	0	160.9187	1	
27	0	165.0805	0	460	1105	2857	4205	621	-12.0	263	1	1	165.4800	1	
28	0	168.6504	0	460	1105	2857	4205	741	-12.0	459	1	1	169.0309	1	
29	0	172.3150	0	595	1582	2857	4205	501	-12.0	200	-1	0	173.5643	-1	
30	0	178.3725	0	460	1105	2857	4205	501	-12.0	330	1	1	179.0311	1	
31	0	182.3553	0	460	1105	2857	4205	651	-12.0	149	1	1	182.7665	1	
32	0	186.0658	0	595	1582	2857	4205	501	-12.0	200	-1	0	187.0818	-1	
33	0	190.9919	0	730	2058	2857	4205	801	-14.0	263	0	0	191.3850	1	
34	0	195.2841	0	460	1105	2857	4205	561	-12.0	149	1	1	195.7188	1	
35	0	198.9496	1	730	2058	2857	4205	741	-14.0	200	0	0	199.2952	1	
36	0	204.0028	0	730	2058	2857	4205	651	-14.0	330	0	0	207.3111	1	
37	0	211.5284	1	730	2058	2857	4205	681	-14.0	459	0	1	212.0652	0	
38	1	218.1644	0	730	2058	2857	4205	681	-14.0	459	0	0	218.4763	1	
39	0	224.2131	0	460	1105	2857	4205	771	-12.0	459	1	1	225.0677	1	
40	0	228.3937	0	595	1582	2857	4205	501	-12.0	200	-1	1	228.8678	-1	
41	0	231.7489	0	460	1105	2857	4205	501	-12.0	330	1	1	232.2977	1	
42	0	235.3669	0	730	2058	2857	4205	621	-14.0	200	0	0	236.3179	1	
43	0	240.7144	0	730	2058	2857	4205	531	-14.0	149	0	0	241.5429	1	
44	0	245.9627	0	460	1105	2857	4205	681	-12.0	149	1	1	246.4729	1	
45	0	249.9445	0	730	2058	2857	4205	711	-14.0	200	0	0	250.6106	1	
46	0	254.6869	0	730	2058	2857	4205	801	-14.0	459	0	0	255.3359	1	
47	0	261.6976	1	460	1105	2857	4205	531	-12.0	263	1	1	262.0531	1	
48	0	265.3971	1	460	1105	2857	4205	741	-12.0	330	1	1	268.7780	1	
49	0	272.3043	0	595	1582	2857	4205	501	-12.0	200	-1	1	272.7675	-1	
50	0	276.1184	1	730	2058	2857	4205	591	-14.0	149	0	0	277.8063	1	
51	0	281.5223	0	460	1105	2857	4205	501	-12.0	200	1	0	284.2686	0	
52	1	289.1938	1	460	1105	2857	4205	501	-12.0	200	1	1	289.7083	1	
53	0	292.8549	0	730	2058	2857	4205	771	-14.0	330	0	1	295.6891	0	
54	1	300.2552	0	730	2058	2857	4205	771	-14.0	330	0	0	300.9186	1	
55	0	304.9727	0	730	2058	2857	4205	651	-14.0	263	0	0	305.6216	1	
56	0	310.1045	0	460	1105	2857	4205	561	-12.0	263	1	1	310.7410	1	
57	0	314.7418	0	460	1105	2857	4205	741	-12.0	149	1	1	315.0950	1	
58	0	318.0722	0	730	2058	2857	4205	651	-14.0	330	0	0	318.6941	1	
59	0	322.5693	0	460	1105	2857	4205	801	-12.0	200	1	1	323.4507	1	
60	0	326.2513	0	460	1105	2857	4205	501	-12.0	459	1	1	326.8462	1	
61	0	330.0891	0	460	1105	2857	4205	591	-12.0	330	1	0	330.8906	0	
62	1	334.8607	0	460	1105	2857	4205	591	-12.0	330	1	1	335.5328	1	
63	0	339.0788	0	460	1105	2857	4205	531	-12.0	149	1	1	339.6135	1	
64	0	342.5981	0	730	2058	2857	4205	621	-14.0	200	0	0	343.2935	1	
65	0	347.3837	0	460	1105	2857	4205	681	-12.0	459	1	1	347.9412	1	
66	0	350.9704	0	730	2058	2857	4205	771	-14.0	263	0	1	358.0974	0	
67	1	362.6812	0	730	2058	2857	4205	771	-14.0	263	0	1	363.0283	0	
68	1	367.1368	0	730	2058	2857	4205	771	-14.0	263	0	0	368.1094	1	
69	0	373.3097	0	595	1582	2857	4205	501	-12.0	200	-1	0	375.9926	-1	
70	0	380.0325	0	730	2058	2857	4205	531	-14.0	263	0	0	381.5945	1	
71	0	386.5768	0	730	2058	2857	4205	561	-14.0	330	0	1	387.3616	0	
72	1	391.1760	0	730	2058	2857	4205	561	-14.0	330	0	1	392.0980	0	
73	1	398.5369	0	730	2058	2857	4205	561	-14.0	330	0	0	399.7483	1	
74	0	404.3395	0	730	2058	2857	4205	591	-14.0	200	0	0	405.1310	1	
75	0	409.1245	0	460	1105	2857	4205	651	-12.0	459	1	1	409.5338	1	
76	0	413.1103	0	730	2058	2857	4205	801	-14.0	330	0	0	415.3466	1	
77	0	419.1246	0	460	1105	2857	4205	681	-12.0	459	1	1	419.4553	1	
78	0	422.7988	0	730	2058	2857	4205	501	-14.0	263	0	0	423.9821	1	
79	0	427.4808	0	595	1582	2857	4205	501	-12.0	200	-1	1	428.1612	-1	
80	0	431.6817	0	730	2058	2857	4205	741	-14.0	149	0	0	433.6081	1	
81	0	437.7942	0	460	1105	2857	4205	531	-12.0	200	1	1	438.8266	1	
82	0	441.7504	0	460	1105	2857	4205	741	-12.0	149	1	1	442.4052	1	
83	0	448.0933	0	460	1105	2857	4205	711	-12.0	459	1	0	449.2135	0	
84	1	453.1923	0	460	1105	2857	4205	711	-12.0	459	1	1	453.7518	1	
85	0	459.4398	0	460	1105	2857	4205	591	-12.0	263	1	1	460.0048	1	
86	0	463.8515	1	730	2058	2857	4205	561	-14.0	330	0	1	464.3455	0	
87	1	473.8808	0	730	2058	2857	4205	561	-14.0	330	0	0	474.8725	1	
88	0	478.8750	0	460	1105	2857	4205	621	-12.0	200	1	1	479.3899	1	
89	0	482.9020	0	730	2058	2857	4205	651	-14.0	263	0	1	483.6729	0	
90	1	489.5153	1	730	2058	2857	4205	651	-14.0	263	0	0	490.4429	1	
91	0	495.5061	1	730	2058	2857	4205	801	-14.0	459	0	1	499.7421	0	
92	1	505.0760	1	730	2058	2857	4205	801	-14.0	459	0	0	505.8373	1	
93	0	510.3516	0	595	1582	2857	4205	501	-12.0	200	-1	0	513.8855	-1	
94	0	517.4555	0	730	2058	2857	4205	681	-14.0	149	0	0	518.1122	1	
95	0	522.1381	0	460	1105	2857	4205	741	-12.0	330	1	1	522.7796	1	
96	0	526.1239	0	460	1105	2857	4205	621	-12.0	263	1	1	526.4749	1	
97	0	529.9073	0	730	2058	2857	4205	591	-14.0	459	0	1	530.5565	0	
98	1	540.6556	0	730	2058	2857	4205	591	-14.0	459	0	0	541.9652	1	
99	0	546.1357	0	460	1105	2857	4205	771	-12.0	149	1	1	546.6965	1	
100	0	549.7777	0	595	1582	2857	4205	501	-12.0	200	-1	1	550.6781	-1	
101	0	554.1620	1	460	1105	2857	4205	651	-12.0	459	1	1	554.4820	1	
102	0	557.9719	0	460	1105	2857	4205	561	-12.0	149	1	1	560.1889	1	
103	0	563.6904	0	730	2058	2857	4205	801	-14.0	200	0	1	564.0446	0	
104	1	595.5097	0	730	2058	2857	4205	801	-14.0	200	0	0	600.0006	1	
105	0	604.2178	0	730	2058	2857	4205	501	-14.0	263	0	1	605.2740	0	
106	1	609.7354	0	730	2058	2857	4205	501	-14.0	263	0	0	610.9658	1	
107	0	614.6632	0	730	2058	2857	4205	681	-14.0	330	0	0	617.0520	1	
108	0	620.6984	0	595	1582	2857	4205	501	-12.0	200	-1	0	622.8208	-1	
109	0	626.0108	0	460	1105	2857	4205	501	-12.0	200	1	1	627.1916	1	
110	0	630.4931	0	730	2058	2857	4205	771	-14.0	459	0	0	638.5558	1	
111	0	642.8626	0	460	1105	2857	4205	711	-12.0	330	1	1	643.8990	1	
112	0	647.3070	0	730	2058	2857	4205	621	-14.0	149	0	0	648.4695	1	
113	0	651.8077	0	460	1105	2857	4205	531	-12.0	330	1	1	652.5848	1	
114	0	659.0969	1	730	2058	2857	4205	651	-14.0	459	0	0	660.2727	1	
115	0	664.0558	0	730	2058	2857	4205	741	-14.0	149	0	0	667.2986	1	
116	0	672.2186	0	460	1105	2857	4205	801	-12.0	263	1	1	672.7968	1	
117	0	675.9817	0	730	2058	2857	4205	561	-14.0	200	0	0	677.8064	1	
118	0	681.8012	0	460	1105	2857	4205	681	-12.0	330	1	0	682.5097	0	
119	1	686.2930	0	460	1105	2857	4205	681	-12.0	330	1	1	687.0021	1	
120	0	690.0187	0	460	1105	2857	4205	531	-12.0	459	1	1	690.7115	1	
121	0	693.8268	0	460	1105	2857	4205	501	-12.0	200	1	1	694.3725	1	
122	0	697.5522	0	730	2058	2857	4205	651	-14.0	149	0	0	698.4713	1	
123	0	702.0775	0	460	1105	2857	4205	561	-12.0	263	1	0	702.7104	0	
124	1	709.5629	1	460	1105	2857	4205	561	-12.0	263	1	1	710.2781	1	
125	0	713.9640	0	730	2058	2857	4205	621	-14.0	263	0	1	717.1405	0	
126	1	721.0824	0	730	2058	2857	4205	621	-14.0	263	0	1	721.6626	0	
127	1	726.9161	0	730	2058	2857	4205	621	-14.0	263	0	0	727.9155	1	
128	0	737.0280	0	730	2058	2857	4205	591	-14.0	459	0	0	738.1344	1	
129	0	742.7932	0	595	1582	2857	4205	501	-12.0	200	-1	1	743.7843	-1	
130	0	746.7658	0	730	2058	2857	4205	741	-14.0	200	0	0	747.4076	1	
131	0	751.4160	0	730	2058	2857	4205	711	-14.0	330	0	0	752.2173	1	
132	0	756.0628	0	460	1105	2857	4205	681	-12.0	200	1	1	756.4949	1	
