Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	
1	0	48.6056	0	437	2761	2975	4263	551	-12.0	263	0	1	48.7304	0	
2	1	89.1732	0	437	2761	2975	4263	551	-12.0	263	0	1	91.8973	0	
3	1	107.1166	0	437	2761	2975	4263	551	-12.0	263	0	1	109.5201	0	
4	1	121.8165	1	437	2761	2975	4263	551	-12.0	263	0	0	134.5148	1	
5	0	158.5422	0	437	2761	2975	4263	851	-12.0	409	0	1	160.2449	0	
6	1	183.6343	1	437	2761	2975	4263	851	-12.0	409	0	0	191.5244	1	
7	0	222.5422	0	437	2761	2975	4263	901	-12.0	499	0	1	224.4302	0	
8	1	237.0642	0	437	2761	2975	4263	901	-12.0	499	0	0	239.0986	1	
9	0	263.3472	0	936	1551	2975	4263	601	-17.0	149	1	1	265.8690	1	
10	0	283.5126	0	936	1551	2975	4263	751	-17.0	200	1	0	285.8240	0	
11	1	295.4982	1	936	1551	2975	4263	751	-17.0	200	1	1	306.0069	1	
12	0	329.9600	0	936	1551	2975	4263	501	-17.0	330	1	0	345.9288	0	
13	1	362.0721	0	936	1551	2975	4263	501	-17.0	330	1	1	363.4071	1	
14	0	382.6704	0	936	1551	2975	4263	541	-17.0	499	1	0	384.4471	0	
15	1	402.3055	0	936	1551	2975	4263	541	-17.0	499	1	1	403.6694	1	
16	0	424.6295	0	437	2761	2975	4263	561	-12.0	263	0	0	426.9812	1	
17	0	448.9227	1	437	2761	2975	4263	591	-12.0	409	0	1	460.6343	0	
18	1	483.7283	0	437	2761	2975	4263	591	-12.0	409	0	1	487.0303	0	
19	1	499.1030	1	437	2761	2975	4263	591	-12.0	409	0	0	503.3560	1	
20	0	530.3444	0	936	1551	2975	4263	601	-17.0	149	1	0	532.9738	0	
21	1	566.0345	0	936	1551	2975	4263	601	-17.0	149	1	1	567.6908	1	
22	0	592.0240	0	936	1551	2975	4263	531	-17.0	200	1	1	593.8966	1	
23	0	619.5166	0	936	1551	2975	4263	511	-17.0	330	1	1	621.6468	1	
24	0	639.3367	0	437	2761	2975	4263	501	-12.0	149	0	1	641.6617	0	
25	1	658.1769	1	437	2761	2975	4263	501	-12.0	149	0	1	668.1568	0	
26	1	679.6508	0	437	2761	2975	4263	501	-12.0	149	0	1	681.3343	0	
27	1	693.1241	0	437	2761	2975	4263	501	-12.0	149	0	0	694.7474	1	
28	0	716.4199	1	936	1551	2975	4263	591	-17.0	409	1	1	724.5093	1	
29	0	741.7396	1	437	2761	2975	4263	561	-12.0	200	0	0	753.5462	1	
30	0	779.7344	1	936	1551	2975	4263	571	-17.0	263	1	1	784.2198	1	
31	0	803.3389	0	936	1551	2975	4263	551	-17.0	499	1	1	806.2679	1	
32	0	829.2622	0	437	2761	2975	4263	521	-12.0	330	0	1	831.7179	0	
33	1	852.5051	0	437	2761	2975	4263	521	-12.0	330	0	1	854.4591	0	
34	1	871.1249	0	437	2761	2975	4263	521	-12.0	330	0	0	872.7585	1	
35	0	898.2002	0	437	2761	2975	4263	581	-12.0	200	0	0	899.9469	1	
36	0	923.2753	1	437	2761	2975	4263	601	-12.0	499	0	1	928.2142	0	
37	1	942.0576	0	437	2761	2975	4263	601	-12.0	499	0	0	943.5560	1	
38	0	967.3010	0	437	2761	2975	4263	581	-12.0	149	0	1	969.5280	0	
39	1	979.7572	1	437	2761	2975	4263	581	-12.0	149	0	0	983.0705	1	
40	0	1005.6956	0	936	1551	2975	4263	571	-17.0	330	1	1	1007.6570	1	
41	0	1027.3380	1	437	2761	2975	4263	511	-12.0	409	0	0	1043.8218	1	
42	0	1066.1793	1	437	2761	2975	4263	501	-12.0	263	0	1	1074.4579	0	
43	1	1088.1247	1	437	2761	2975	4263	501	-12.0	263	0	0	1091.2912	1	
44	0	1109.9967	0	936	1551	2975	4263	531	-17.0	263	1	1	1112.9423	1	
45	0	1134.8704	0	936	1551	2975	4263	561	-17.0	409	1	0	1134.9205	0	
46	1	1157.0908	0	936	1551	2975	4263	561	-17.0	409	1	0	1171.8456	0	
47	1	1192.0027	0	936	1551	2975	4263	561	-17.0	409	1	0	1192.1302	0	
48	1	1228.0264	0	936	1551	2975	4263	561	-17.0	409	1	1	1229.6632	1	
49	0	1253.1306	0	437	2761	2975	4263	541	-12.0	499	0	0	1254.8777	1	
50	0	1280.3000	1	437	2761	2975	4263	601	-12.0	149	0	1	1298.2108	0	
51	1	1311.8272	0	437	2761	2975	4263	601	-12.0	149	0	1	1313.5046	0	
52	1	1325.5900	0	437	2761	2975	4263	601	-12.0	149	0	1	1326.9625	0	
53	1	1339.7521	1	437	2761	2975	4263	601	-12.0	149	0	0	1344.3598	1	
54	0	1368.1896	0	936	1551	2975	4263	591	-17.0	330	1	1	1374.5817	1	
55	0	1392.4726	1	936	1551	2975	4263	551	-17.0	200	1	0	1405.2419	0	
56	1	1409.5717	0	936	1551	2975	4263	551	-17.0	200	1	1	1411.5006	1	
57	0	1433.7917	0	437	2761	2975	4263	541	-12.0	409	0	1	1437.1255	0	
58	1	1445.0388	0	437	2761	2975	4263	541	-12.0	409	0	0	1447.0757	1	
59	0	1467.6297	0	936	1551	2975	4263	561	-17.0	499	1	1	1469.5537	1	
60	0	1491.5478	0	936	1551	2975	4263	531	-17.0	149	1	1	1493.4057	1	
61	0	1514.4958	0	437	2761	2975	4263	571	-12.0	200	0	0	1516.0856	1	
62	0	1536.9550	1	936	1551	2975	4263	591	-17.0	263	1	1	1541.7021	1	
63	0	1564.3846	0	437	2761	2975	4263	601	-12.0	330	0	0	1569.5857	1	
64	0	1587.9805	0	936	1551	2975	4263	501	-17.0	149	1	1	1589.8149	1	
65	0	1606.8949	1	437	2761	2975	4263	521	-12.0	409	0	0	1610.8451	1	
66	0	1629.5471	0	437	2761	2975	4263	511	-12.0	330	0	1	1632.2688	0	
67	1	1647.7657	1	437	2761	2975	4263	511	-12.0	330	0	0	1650.0603	1	
68	0	1673.2738	0	936	1551	2975	4263	551	-17.0	200	1	1	1676.0339	1	
69	0	1695.0000	0	437	2761	2975	4263	541	-12.0	263	0	0	1697.2808	1	
70	0	1714.0802	0	437	2761	2975	4263	601	-12.0	499	0	0	1715.6812	1	
71	0	1734.9814	0	936	1551	2975	4263	581	-17.0	409	1	1	1737.9685	1	
72	0	1755.9734	1	936	1551	2975	4263	521	-17.0	200	1	1	1761.1619	1	
73	0	1778.5591	0	437	2761	2975	4263	511	-12.0	263	0	0	1780.9015	1	
74	0	1799.1990	1	936	1551	2975	4263	591	-17.0	499	1	0	1806.3173	0	
75	1	1810.7739	0	936	1551	2975	4263	591	-17.0	499	1	0	1812.4240	0	
76	1	1828.8250	0	936	1551	2975	4263	591	-17.0	499	1	0	1828.9467	0	
77	1	1833.9960	0	936	1551	2975	4263	591	-17.0	499	1	0	1834.1698	0	
78	1	1840.1930	1	936	1551	2975	4263	591	-17.0	499	1	0	1840.3146	0	
79	1	1847.7942	0	936	1551	2975	4263	591	-17.0	499	1	1	1850.3082	1	
80	0	1868.3447	0	437	2761	2975	4263	531	-12.0	149	0	0	1870.7718	1	
81	0	1886.0456	1	437	2761	2975	4263	561	-12.0	330	0	0	1888.6161	1	
82	0	1906.7408	0	936	1551	2975	4263	501	-17.0	499	1	1	1909.3068	1	
83	0	1925.4547	1	936	1551	2975	4263	551	-17.0	263	1	0	1938.6552	0	
84	1	1951.7873	1	936	1551	2975	4263	551	-17.0	263	1	1	1965.4376	1	
85	0	1983.7805	1	437	2761	2975	4263	511	-12.0	200	0	0	1989.9277	1	
86	0	1997.5320	0	936	1551	2975	4263	551	-17.0	409	1	0	1999.3544	0	
87	1	2030.0987	0	936	1551	2975	4263	551	-17.0	409	1	1	2032.6883	1	
88	0	2037.4276	0	936	1551	2975	4263	591	-17.0	330	1	1	2039.2449	1	
89	0	2046.9028	1	437	2761	2975	4263	601	-12.0	149	0	1	2048.7494	0	
