Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	
1	0	10.4171	0	936	1551	2975	4263	581	-17.0	149	1	0	14.0708	0	
2	1	23.6419	0	936	1551	2975	4263	581	-17.0	149	1	0	26.1340	0	
3	1	33.9636	0	936	1551	2975	4263	581	-17.0	149	1	1	34.6850	1	
4	0	41.5994	0	437	2761	2975	4263	531	-12.0	200	0	1	42.2996	0	
5	1	57.2418	0	437	2761	2975	4263	531	-12.0	200	0	0	58.5709	1	
6	0	70.5157	0	437	2761	2975	4263	551	-12.0	263	0	0	71.8206	1	
7	0	86.0969	1	437	2761	2975	4263	501	-12.0	263	0	1	87.4084	0	
8	1	102.5088	0	437	2761	2975	4263	501	-12.0	263	0	0	104.3513	1	
9	0	118.9509	0	640	2069	2857	4205	501	-12.0	200	-1	1	119.5403	-1	
10	0	127.9442	0	437	2761	2975	4263	571	-12.0	149	0	1	128.9023	0	
11	1	144.3391	0	437	2761	2975	4263	571	-12.0	149	0	0	145.2347	1	
12	0	156.5194	0	936	1551	2975	4263	561	-17.0	263	1	1	157.1541	1	
13	0	165.8246	1	936	1551	2975	4263	601	-17.0	149	1	1	166.4705	1	
14	0	182.8572	0	936	1551	2975	4263	591	-17.0	200	1	1	187.6858	1	
15	0	198.6434	0	640	2069	2857	4205	501	-12.0	200	-1	1	199.8649	-1	
16	0	209.6203	0	437	2761	2975	4263	591	-12.0	263	0	1	210.6124	0	
17	1	218.5605	1	437	2761	2975	4263	591	-12.0	263	0	0	219.0728	1	
18	0	230.2994	0	437	2761	2975	4263	581	-12.0	200	0	0	233.2210	1	
19	0	243.7009	1	936	1551	2975	4263	501	-17.0	200	1	1	244.7790	1	
20	0	257.4425	0	437	2761	2975	4263	601	-12.0	263	0	1	261.8338	0	
21	1	270.4305	0	437	2761	2975	4263	601	-12.0	263	0	0	271.1455	1	
22	0	283.1251	0	936	1551	2975	4263	511	-17.0	149	1	1	284.2775	1	
23	0	294.1518	0	936	1551	2975	4263	571	-17.0	149	1	1	294.7732	1	
24	0	303.8634	1	936	1551	2975	4263	541	-17.0	200	1	1	304.5922	1	
25	0	317.4783	1	437	2761	2975	4263	531	-12.0	263	0	1	325.6086	0	
26	1	332.6552	0	437	2761	2975	4263	531	-12.0	263	0	0	333.5334	1	
27	0	342.7424	1	437	2761	2975	4263	561	-12.0	200	0	1	343.4902	0	
28	1	355.7518	0	437	2761	2975	4263	561	-12.0	200	0	0	360.2387	1	
