Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	
1	0	11.913	0	460	1105	2857	4205	601	-12.0	200	0	0	28.459	1	
2	0	43.687	1	460	1105	2857	4205	501	-9.0	200	0	0	44.727	1	
3	0	54.054	0	460	1105	2857	4205	901	-15.0	200	0	0	55.160	1	
4	0	61.192	0	460	1105	2857	4205	801	-13.5	200	0	0	61.795	1	
5	0	75.940	0	730	2058	2857	4205	851	-14.0	200	1	1	77.441	1	
6	0	80.010	1	460	1105	2857	4205	551	-15.0	200	0	0	81.412	1	
7	0	108.048	0	460	1105	2857	4205	501	-15.5	200	-1	0	109.043	-1	
8	0	118.703	0	460	1105	2857	4205	501	-14.0	200	-1	0	120.492	-1	
9	0	123.827	0	730	2058	2857	4205	1001	-15.5	200	1	1	124.993	1	
10	0	128.572	1	730	2058	2857	4205	901	-14.0	200	1	1	129.821	1	
11	0	137.542	0	460	1105	2857	4205	601	-12.0	200	0	0	144.328	1	
12	0	150.443	0	730	2058	2857	4205	701	-17.0	200	1	0	151.305	0	
13	1	162.723	0	730	2058	2857	4205	701	-17.0	200	1	1	164.795	1	
14	0	170.388	0	460	1105	2857	4205	501	-14.0	200	-1	0	171.905	-1	
15	0	177.014	0	730	2058	2857	4205	751	-15.5	200	1	0	180.405	0	
16	1	194.805	0	730	2058	2857	4205	751	-15.5	200	1	1	196.222	1	
17	0	202.095	0	460	1105	2857	4205	501	-14.0	200	-1	1	203.289	-1	
18	0	208.499	0	460	1105	2857	4205	501	-12.0	200	0	0	209.897	1	
19	0	215.285	1	460	1105	2857	4205	651	-10.5	200	0	0	223.308	1	
20	0	231.181	0	730	2058	2857	4205	851	-17.0	200	1	0	231.897	0	
21	1	246.558	0	730	2058	2857	4205	851	-17.0	200	1	1	248.143	1	
22	0	253.554	0	730	2058	2857	4205	551	-12.5	200	1	1	254.586	1	
23	0	259.530	0	730	2058	2857	4205	1001	-11.0	200	1	1	260.445	1	
24	0	265.579	0	730	2058	2857	4205	751	-14.0	200	1	0	266.523	0	
25	1	280.726	1	730	2058	2857	4205	751	-14.0	200	1	1	281.385	1	
26	0	302.674	0	460	1105	2857	4205	701	-13.5	200	0	1	310.481	0	
27	1	323.297	0	460	1105	2857	4205	701	-13.5	200	0	0	323.824	1	
28	0	331.311	0	730	2058	2857	4205	501	-15.5	200	1	0	332.033	0	
29	1	345.130	0	730	2058	2857	4205	501	-15.5	200	1	1	346.247	1	
30	0	353.388	1	730	2058	2857	4205	501	-15.5	200	-1	0	361.372	-1	
31	0	365.840	0	730	2058	2857	4205	951	-17.0	200	1	1	368.456	1	
32	0	375.510	0	460	1105	2857	4205	601	-9.0	200	0	0	377.231	1	
33	0	383.487	0	460	1105	2857	4205	501	-18.5	200	-1	0	384.594	-1	
34	0	390.409	0	730	2058	2857	4205	801	-12.5	200	1	1	391.911	1	
35	0	396.408	0	730	2058	2857	4205	801	-17.0	200	1	1	397.485	1	
36	0	402.167	0	460	1105	2857	4205	701	-9.0	200	0	0	403.469	1	
37	0	409.717	0	730	2058	2857	4205	651	-12.5	200	1	1	410.968	1	
38	0	416.277	0	460	1105	2857	4205	851	-12.0	200	0	0	417.254	1	
39	0	423.410	0	730	2058	2857	4205	951	-17.0	200	1	1	425.064	1	
40	0	429.632	0	730	2058	2857	4205	501	-15.5	200	1	1	431.370	1	
41	0	436.189	1	460	1105	2857	4205	901	-10.5	200	0	0	436.884	1	
