Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	
1	0	9.1391	0	460	1105	2857	4205	651	-15.0	200	0	1	9.8853	0	
2	1	25.8405	0	460	1105	2857	4205	651	-15.0	200	0	1	26.7220	0	
3	1	38.3168	0	460	1105	2857	4205	651	-15.0	200	0	1	39.4972	0	
4	1	50.6749	1	460	1105	2857	4205	651	-15.0	200	0	0	51.7381	1	
5	0	56.4781	0	460	1105	2857	4205	551	-15.0	200	0	0	59.7046	1	
6	0	70.1966	0	460	1105	2857	4205	501	-20.0	200	-1	0	71.2506	-1	
7	0	77.3279	0	730	2058	2857	4205	701	-11.0	200	1	1	78.6417	1	
8	0	84.6196	1	460	1105	2857	4205	1001	-15.0	200	0	1	85.3527	0	
9	1	96.5004	0	460	1105	2857	4205	1001	-15.0	200	0	0	97.9515	1	
10	0	103.2599	0	730	2058	2857	4205	501	-11.0	200	1	1	103.9941	1	
11	0	109.0111	0	730	2058	2857	4205	501	-18.5	200	-1	0	110.1708	-1	
12	0	115.2785	1	730	2058	2857	4205	601	-11.0	200	1	1	119.0451	1	
13	0	123.0031	1	460	1105	2857	4205	751	-15.0	200	0	0	124.0110	1	
14	0	129.6789	0	460	1105	2857	4205	901	-9.0	200	0	0	134.7870	1	
15	0	139.4670	0	730	2058	2857	4205	851	-11.0	200	1	1	140.7369	1	
16	0	146.2089	0	730	2058	2857	4205	501	-18.5	200	-1	0	147.2169	-1	
17	0	152.3417	0	460	1105	2857	4205	951	-15.0	200	0	0	153.8277	1	
18	0	162.9771	0	460	1105	2857	4205	501	-20.0	200	-1	0	165.3892	-1	
19	0	170.7508	0	730	2058	2857	4205	901	-17.0	200	1	1	171.5352	1	
20	0	176.2359	0	730	2058	2857	4205	751	-11.0	200	1	1	176.8333	1	
21	0	182.5693	0	460	1105	2857	4205	1001	-9.0	200	0	0	183.3862	1	
22	0	188.1119	0	730	2058	2857	4205	551	-17.0	200	1	1	189.1321	1	
23	0	194.6906	1	460	1105	2857	4205	701	-15.0	200	0	1	195.7211	0	
24	1	212.5295	0	460	1105	2857	4205	701	-15.0	200	0	0	214.2749	1	
25	0	218.2195	0	730	2058	2857	4205	651	-11.0	200	1	1	219.1885	1	
26	0	224.3148	0	730	2058	2857	4205	501	-18.5	200	-1	0	225.5195	-1	
27	0	231.8351	0	460	1105	2857	4205	501	-20.0	200	-1	0	233.5510	-1	
28	0	239.0952	0	730	2058	2857	4205	501	-11.0	200	1	1	240.0742	1	
29	0	247.0953	0	460	1105	2857	4205	601	-15.0	200	0	0	247.9372	1	
30	0	256.3865	1	460	1105	2857	4205	751	-9.0	200	0	0	258.7141	1	
31	0	263.1456	1	730	2058	2857	4205	551	-17.0	200	1	1	264.2142	1	
32	0	275.4946	1	730	2058	2857	4205	901	-11.0	200	1	1	277.2772	1	
33	0	281.9268	0	460	1105	2857	4205	951	-9.0	200	0	0	286.9880	1	
34	0	291.6894	0	460	1105	2857	4205	801	-15.0	200	0	0	293.5203	1	
35	0	297.8588	0	460	1105	2857	4205	501	-20.0	200	-1	0	299.5160	-1	
