Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	
1	0	8.9747	0	460	1105	2857	4205	1001	-15.0	200	0	0	11.4554	1	
2	0	18.4291	0	460	1105	2857	4205	551	-15.0	200	0	1	22.8904	0	
3	1	34.4706	0	460	1105	2857	4205	551	-15.0	200	0	1	34.9307	0	
4	1	43.0670	0	460	1105	2857	4205	551	-15.0	200	0	0	44.0715	1	
5	0	49.1135	0	460	1105	2857	4205	651	-15.0	200	0	0	49.9654	1	
6	0	54.4739	0	730	2058	2857	4205	501	-18.5	200	-1	1	55.4976	-1	
7	0	59.2313	0	730	2058	2857	4205	601	-17.0	200	1	1	60.4173	1	
8	0	66.0995	0	730	2058	2857	4205	801	-11.0	200	1	1	66.7725	1	
9	0	70.4078	0	730	2058	2857	4205	501	-17.0	200	1	1	71.6405	1	
10	0	75.7732	0	460	1105	2857	4205	851	-9.0	200	0	0	77.1941	1	
11	0	84.0860	0	460	1105	2857	4205	501	-20.0	200	-1	1	85.2538	-1	
12	0	88.8284	0	730	2058	2857	4205	501	-18.5	200	-1	1	89.7308	-1	
13	0	93.9287	0	460	1105	2857	4205	601	-9.0	200	0	0	95.3576	1	
14	0	113.1237	0	460	1105	2857	4205	951	-15.0	200	0	0	114.9591	1	
15	0	123.7216	1	730	2058	2857	4205	751	-17.0	200	1	1	124.3519	1	
16	0	127.1758	0	730	2058	2857	4205	501	-17.0	200	1	0	129.9714	0	
17	1	138.2341	0	730	2058	2857	4205	501	-17.0	200	1	1	138.9702	1	
18	0	141.9985	0	730	2058	2857	4205	701	-11.0	200	1	1	143.1874	1	
19	0	146.8747	0	460	1105	2857	4205	501	-20.0	200	-1	0	148.6174	-1	
20	0	154.1147	0	730	2058	2857	4205	851	-11.0	200	1	1	154.7138	1	
21	0	158.0409	0	460	1105	2857	4205	551	-15.0	200	0	1	159.0704	0	
22	1	166.7184	0	460	1105	2857	4205	551	-15.0	200	0	0	167.9487	1	
23	0	173.7701	0	730	2058	2857	4205	651	-17.0	200	1	1	174.6282	1	
24	0	177.2598	0	460	1105	2857	4205	651	-9.0	200	0	0	179.1941	1	
25	0	200.1758	0	730	2058	2857	4205	951	-11.0	200	1	1	201.0427	1	
26	0	209.5394	0	460	1105	2857	4205	1001	-9.0	200	0	0	210.3952	1	
27	0	213.8018	0	730	2058	2857	4205	501	-18.5	200	-1	0	214.7558	-1	
28	0	219.3338	0	730	2058	2857	4205	601	-11.0	200	1	1	219.9780	1	
29	0	224.2453	0	730	2058	2857	4205	501	-18.5	200	-1	0	225.9193	-1	
30	0	230.7520	0	460	1105	2857	4205	501	-20.0	200	-1	0	234.0044	-1	
31	0	238.6681	1	460	1105	2857	4205	551	-9.0	200	0	0	242.5104	1	
32	0	246.7422	0	460	1105	2857	4205	501	-15.0	200	0	1	248.0960	0	
33	1	255.8475	0	460	1105	2857	4205	501	-15.0	200	0	0	258.7094	1	
34	0	264.7277	0	730	2058	2857	4205	701	-17.0	200	1	1	265.2641	1	
35	0	268.8056	0	730	2058	2857	4205	551	-17.0	200	1	1	269.7627	1	
36	0	275.8678	0	460	1105	2857	4205	651	-9.0	200	0	0	277.1319	1	
