Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	
1	0	7.653	0	460	1105	2857	4205	551	-13.5	200	0	1	9.024	0	
2	1	25.016	0	460	1105	2857	4205	551	-13.5	200	0	0	30.418	1	
3	0	46.576	0	460	1105	2857	4205	651	-9.0	200	0	0	57.894	1	
4	0	81.763	0	730	2058	2857	4205	951	-15.0	200	1	1	82.663	1	
5	0	86.360	0	460	1105	2857	4205	851	-12.0	200	0	0	86.893	1	
6	0	99.608	1	730	2058	2857	4205	801	-9.0	200	1	1	100.554	1	
7	0	103.532	0	460	1105	2857	4205	751	-13.5	200	0	1	111.444	0	
8	1	128.226	0	460	1105	2857	4205	751	-13.5	200	0	0	128.779	1	
9	0	136.260	0	460	1105	2857	4205	901	-15.0	200	0	0	136.903	1	
10	0	148.222	0	730	2058	2857	4205	501	-10.5	200	-1	1	149.210	-1	
11	0	151.654	0	460	1105	2857	4205	501	-13.5	200	-1	0	153.562	-1	
12	0	166.039	0	730	2058	2857	4205	601	-15.0	200	1	0	168.579	0	
13	1	182.557	0	730	2058	2857	4205	601	-15.0	200	1	0	183.228	0	
14	1	201.193	0	730	2058	2857	4205	601	-15.0	200	1	1	202.189	1	
15	0	218.644	0	730	2058	2857	4205	1001	-9.0	200	1	1	219.293	1	
16	0	225.286	0	730	2058	2857	4205	501	-12.0	200	-1	1	226.540	-1	
17	0	234.184	0	730	2058	2857	4205	801	-13.5	200	1	1	234.880	1	
18	0	242.488	0	730	2058	2857	4205	701	-15.0	200	1	1	243.502	1	
19	0	251.539	0	730	2058	2857	4205	651	-9.0	200	1	1	252.540	1	
20	0	257.092	0	460	1105	2857	4205	601	-12.0	200	0	0	257.788	1	
21	0	269.810	0	730	2058	2857	4205	951	-12.0	200	1	1	270.655	1	
22	0	274.925	0	730	2058	2857	4205	851	-9.0	200	1	1	275.714	1	
23	0	283.893	0	460	1105	2857	4205	551	-15.0	200	0	0	284.551	1	
24	0	291.886	0	730	2058	2857	4205	751	-10.5	200	1	1	292.826	1	
25	0	296.717	0	730	2058	2857	4205	751	-10.5	200	1	1	297.686	1	
26	0	306.423	0	460	1105	2857	4205	851	-12.0	200	0	0	307.010	1	
27	0	319.737	0	730	2058	2857	4205	501	-9.0	200	1	1	320.768	1	
28	0	324.018	0	460	1105	2857	4205	601	-15.0	200	0	0	324.809	1	
29	0	342.902	0	460	1105	2857	4205	801	-15.0	200	0	0	343.415	1	
30	0	353.866	0	460	1105	2857	4205	501	-12.0	200	-1	0	354.731	-1	
