Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	
1	0	8.6341	0	730	2058	2857	4205	701	-17.0	200	1	0	14.2322	0	
2	1	24.2499	0	730	2058	2857	4205	701	-17.0	200	1	1	26.0340	1	
3	0	30.8097	0	460	1105	2857	4205	501	-15.0	200	0	0	31.8737	1	
4	0	37.7582	1	460	1105	2857	4205	651	-9.0	200	0	0	41.3808	1	
5	0	49.9702	0	460	1105	2857	4205	951	-15.0	200	0	0	50.9101	1	
6	0	60.5226	0	460	1105	2857	4205	501	-20.0	200	-1	0	61.1104	-1	
7	0	67.8740	0	730	2058	2857	4205	851	-17.0	200	1	1	68.6022	1	
8	0	73.6636	0	730	2058	2857	4205	601	-11.0	200	1	1	74.7060	1	
9	0	80.1482	0	460	1105	2857	4205	801	-15.0	200	0	0	80.9677	1	
10	0	87.5601	0	460	1105	2857	4205	501	-20.0	200	-1	0	88.6177	-1	
11	0	95.6128	0	730	2058	2857	4205	751	-11.0	200	1	1	96.3887	1	
12	0	102.6446	0	460	1105	2857	4205	1001	-9.0	200	0	0	103.0150	1	
13	0	108.4746	0	730	2058	2857	4205	501	-18.5	200	-1	0	109.4278	-1	
14	0	115.1900	0	730	2058	2857	4205	501	-11.0	200	1	1	117.5662	1	
15	0	122.8305	0	730	2058	2857	4205	651	-11.0	200	1	1	123.5319	1	
16	0	129.8222	0	460	1105	2857	4205	851	-15.0	200	0	0	130.1457	1	
17	0	138.7891	0	730	2058	2857	4205	501	-18.5	200	-1	1	139.8032	-1	
18	0	146.2039	0	730	2058	2857	4205	901	-11.0	200	1	1	146.6525	1	
19	0	152.8479	0	730	2058	2857	4205	801	-11.0	200	1	1	153.4956	1	
20	0	159.7357	1	460	1105	2857	4205	701	-9.0	200	0	0	160.2495	1	
21	0	167.5317	1	460	1105	2857	4205	601	-9.0	200	0	1	178.6184	0	
22	1	186.9867	0	460	1105	2857	4205	601	-9.0	200	0	0	187.8202	1	
23	0	195.1707	0	460	1105	2857	4205	1001	-9.0	200	0	0	195.6252	1	
24	0	205.1426	0	730	2058	2857	4205	801	-11.0	200	1	1	205.5371	1	
25	0	210.7522	0	460	1105	2857	4205	501	-20.0	200	-1	1	211.8062	-1	
26	0	218.3584	0	460	1105	2857	4205	951	-9.0	200	0	0	219.1488	1	
27	0	227.3951	0	730	2058	2857	4205	851	-11.0	200	1	1	228.0524	1	
28	0	234.2831	0	730	2058	2857	4205	751	-11.0	200	1	1	234.8420	1	
29	0	241.2133	0	730	2058	2857	4205	501	-18.5	200	-1	1	242.0850	-1	
30	0	249.0918	0	460	1105	2857	4205	651	-15.0	200	0	0	249.6069	1	
31	0	258.7541	0	730	2058	2857	4205	501	-11.0	200	1	1	259.9723	1	
32	0	265.1219	0	460	1105	2857	4205	551	-9.0	200	0	0	265.8847	1	
33	0	274.7742	0	460	1105	2857	4205	501	-20.0	200	-1	1	275.7550	-1	
