Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	
1	0	10.6066	0	730	2058	2857	4205	851	-7.0	200	1	1	12.1831	1	
2	0	16.7767	0	730	2058	2857	4205	651	-7.0	200	1	1	18.1760	1	
3	0	23.1359	0	460	1105	2857	4205	601	-10.0	200	0	0	24.7392	1	
4	0	34.8483	1	730	2058	2857	4205	951	-10.0	200	1	1	37.2193	1	
5	0	42.4005	0	460	1105	2857	4205	801	-10.0	200	0	1	44.4888	0	
6	1	54.5035	0	460	1105	2857	4205	801	-10.0	200	0	0	55.1494	1	
7	0	62.3000	0	460	1105	2857	4205	501	-10.0	NaN	-1	0	62.8386	-1	
8	0	71.0362	0	460	1105	2857	4205	501	-7.0	200	0	0	72.0462	1	
9	0	78.5333	0	730	2058	2857	4205	501	-10.0	NaN	-1	1	79.5888	-1	
10	0	85.8839	0	730	2058	2857	4205	1001	-7.0	200	1	1	87.2468	1	
11	0	93.9616	0	460	1105	2857	4205	501	-10.0	NaN	-1	1	95.8483	-1	
12	0	102.5427	0	460	1105	2857	4205	701	-7.0	200	0	0	103.5523	1	
13	0	116.7097	0	730	2058	2857	4205	1001	-7.0	200	1	1	117.4164	1	
14	0	122.5380	0	730	2058	2857	4205	601	-7.0	200	1	1	123.2417	1	
15	0	128.5820	0	730	2058	2857	4205	501	-10.0	NaN	-1	1	129.6145	-1	
16	0	136.1934	0	460	1105	2857	4205	901	-10.0	200	0	0	136.8473	1	
17	0	144.4601	0	460	1105	2857	4205	851	-7.0	200	0	1	145.4708	0	
18	1	161.5832	0	460	1105	2857	4205	851	-7.0	200	0	0	162.5425	1	
19	0	168.8702	1	460	1105	2857	4205	651	-10.0	200	0	0	171.4267	1	
20	0	177.9873	0	460	1105	2857	4205	551	-10.0	200	0	0	180.0938	1	
21	0	191.9045	0	730	2058	2857	4205	951	-7.0	200	1	1	192.5616	1	
22	0	198.4632	0	730	2058	2857	4205	501	-10.0	NaN	-1	1	200.8398	-1	
23	0	208.6484	0	460	1105	2857	4205	751	-10.0	200	0	0	210.5518	1	
24	0	220.7386	0	730	2058	2857	4205	901	-7.0	200	1	1	221.7838	1	
25	0	229.0382	1	730	2058	2857	4205	651	-10.0	200	1	1	230.4822	1	
26	0	237.5146	0	460	1105	2857	4205	501	-10.0	NaN	-1	1	245.1186	-1	
27	0	251.1625	0	730	2058	2857	4205	851	-7.0	200	1	1	252.6046	1	
28	0	258.8381	0	460	1105	2857	4205	951	-10.0	200	0	1	263.9042	0	
29	1	278.8464	0	460	1105	2857	4205	951	-10.0	200	0	0	279.2078	1	
30	0	290.0860	0	460	1105	2857	4205	551	-7.0	200	0	1	291.5224	0	
31	1	297.3632	0	460	1105	2857	4205	551	-7.0	200	0	0	298.5222	1	
32	0	309.1388	0	730	2058	2857	4205	501	-10.0	NaN	-1	1	310.4064	-1	
33	0	315.7389	0	460	1105	2857	4205	501	-10.0	NaN	-1	1	316.9829	-1	
34	0	328.3801	0	460	1105	2857	4205	1001	-7.0	200	0	0	329.4282	1	
35	0	340.1118	0	730	2058	2857	4205	601	-7.0	200	1	1	341.0294	1	
36	0	345.1826	0	730	2058	2857	4205	751	-7.0	200	1	1	346.2948	1	
37	0	352.4632	0	460	1105	2857	4205	501	-10.0	NaN	-1	1	354.1038	-1	
38	0	360.2985	0	460	1105	2857	4205	801	-7.0	200	0	1	361.6575	0	
39	1	377.4314	0	460	1105	2857	4205	801	-7.0	200	0	0	378.0150	1	
40	0	387.0311	0	730	2058	2857	4205	501	-10.0	NaN	-1	1	388.4056	-1	
41	0	394.6042	0	730	2058	2857	4205	951	-7.0	200	1	1	395.6672	1	
42	0	401.0614	0	730	2058	2857	4205	851	-7.0	200	1	1	401.9217	1	
43	0	408.3940	0	460	1105	2857	4205	501	-7.0	200	0	0	409.7851	1	
44	0	418.1692	0	730	2058	2857	4205	551	-7.0	200	1	1	418.9685	1	
45	0	427.3877	0	460	1105	2857	4205	651	-10.0	200	0	1	429.7325	0	
46	1	436.1775	0	460	1105	2857	4205	651	-10.0	200	0	0	436.6530	1	
47	0	444.5154	0	460	1105	2857	4205	801	-7.0	200	0	1	445.9979	0	
48	1	455.7531	0	460	1105	2857	4205	801	-7.0	200	0	0	457.1344	1	
49	0	469.6895	0	730	2058	2857	4205	951	-7.0	200	1	1	470.3379	1	
50	0	478.6237	0	730	2058	2857	4205	501	-10.0	NaN	-1	1	479.6621	-1	
51	0	489.5511	0	460	1105	2857	4205	651	-10.0	200	0	0	490.2319	1	
52	0	502.9127	0	730	2058	2857	4205	501	-7.0	200	1	1	504.8189	1	
53	0	520.4592	0	460	1105	2857	4205	501	-10.0	NaN	-1	1	522.6864	-1	
54	0	558.6423	1	730	2058	2857	4205	751	-7.0	200	1	0	559.7130	0	
55	1	569.4786	0	730	2058	2857	4205	751	-7.0	200	1	1	570.4622	1	
56	0	572.0972	1	460	1105	2857	4205	701	-7.0	200	0	1	579.9894	0	
57	1	587.8838	0	460	1105	2857	4205	701	-7.0	200	0	0	589.1008	1	
58	0	598.6120	0	730	2058	2857	4205	901	-10.0	200	1	1	599.8273	1	
59	0	601.4461	0	460	1105	2857	4205	501	-10.0	NaN	-1	1	602.6670	-1	
60	0	605.4022	0	730	2058	2857	4205	601	-10.0	200	1	1	606.7019	1	
61	0	613.8570	1	460	1105	2857	4205	901	-10.0	200	0	0	625.1605	1	
62	0	634.5761	0	460	1105	2857	4205	851	-7.0	200	0	0	635.3385	1	
63	0	638.2138	0	730	2058	2857	4205	701	-7.0	200	1	0	639.1232	0	
64	1	646.5710	1	730	2058	2857	4205	701	-7.0	200	1	1	647.5067	1	
65	0	653.6278	0	460	1105	2857	4205	501	-10.0	200	0	1	659.3699	0	
66	1	665.2253	0	460	1105	2857	4205	501	-10.0	200	0	0	666.0088	1	
67	0	675.0249	0	730	2058	2857	4205	501	-10.0	NaN	-1	1	676.4958	-1	
68	0	692.7169	0	730	2058	2857	4205	551	-7.0	200	1	1	694.2095	1	
69	0	697.0329	0	460	1105	2857	4205	501	-10.0	NaN	-1	0	698.1100	-1	
70	0	708.8348	0	730	2058	2857	4205	501	-10.0	NaN	-1	1	710.1296	-1	
71	0	713.8008	0	730	2058	2857	4205	801	-7.0	200	1	1	714.7358	1	
72	0	725.3748	0	460	1105	2857	4205	951	-7.0	200	0	0	727.2306	1	
73	0	736.7150	0	460	1105	2857	4205	551	-7.0	200	0	0	737.6783	1	
