Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	
1	0	10.103	0	460	1105	2857	4205	851	-14.5	200	1	1	16.771	1	
2	0	77.869	0	730	2058	2857	4205	951	-15.0	200	0	0	78.583	1	
3	0	94.661	0	460	1105	2857	4205	551	-19.0	200	1	1	95.280	1	
4	0	100.098	0	460	1105	2857	4205	651	-13.0	200	1	1	100.595	1	
5	0	114.292	0	460	1105	2857	4205	501	-16.0	200	1	1	114.865	1	
6	0	133.614	0	460	1105	2857	4205	901	-16.0	200	1	1	134.007	1	
7	0	146.144	0	730	2058	2857	4205	501	-22.5	200	-1	1	146.804	-1	
8	0	156.980	0	460	1105	2857	4205	501	-18.0	200	-1	1	157.644	-1	
9	0	167.965	0	730	2058	2857	4205	601	-19.5	200	0	0	168.366	1	
10	0	179.702	0	730	2058	2857	4205	501	-19.5	200	-1	0	180.695	-1	
11	0	193.134	1	730	2058	2857	4205	651	-19.5	200	0	0	193.562	1	
12	0	203.082	0	460	1105	2857	4205	551	-13.0	200	1	0	206.919	0	
13	1	218.973	1	460	1105	2857	4205	551	-13.0	200	1	0	219.486	0	
14	1	232.897	0	460	1105	2857	4205	551	-13.0	200	1	1	233.385	1	
15	0	238.074	0	460	1105	2857	4205	501	-19.5	200	-1	1	238.694	-1	
16	0	248.030	0	460	1105	2857	4205	851	-14.5	200	1	1	248.551	1	
17	0	284.967	0	730	2058	2857	4205	751	-18.0	200	0	0	285.512	1	
18	0	322.164	0	730	2058	2857	4205	1001	-15.0	200	0	0	322.764	1	
19	0	337.174	0	460	1105	2857	4205	701	-19.0	200	1	0	337.621	0	
20	1	351.667	0	460	1105	2857	4205	701	-19.0	200	1	0	352.400	0	
21	1	366.269	0	460	1105	2857	4205	701	-19.0	200	1	1	367.024	1	
22	0	396.426	0	730	2058	2857	4205	851	-16.5	200	0	0	397.033	1	
23	0	424.085	0	730	2058	2857	4205	951	-19.5	200	0	0	424.543	1	
24	0	458.790	0	730	2058	2857	4205	901	-18.0	200	0	0	459.166	1	
25	0	472.704	1	460	1105	2857	4205	751	-19.0	200	1	1	473.343	1	
26	0	477.130	0	730	2058	2857	4205	501	-16.5	200	-1	1	481.472	-1	
27	0	482.998	0	460	1105	2857	4205	501	-21.0	200	-1	1	483.995	-1	
28	0	505.496	0	730	2058	2857	4205	651	-16.5	200	0	0	505.920	1	
29	0	513.153	0	730	2058	2857	4205	501	-21.0	200	0	0	513.658	1	
30	0	521.431	0	460	1105	2857	4205	501	-21.0	200	-1	0	521.832	-1	
31	0	532.198	1	730	2058	2857	4205	551	-15.0	200	0	0	532.982	1	
32	0	537.125	0	460	1105	2857	4205	751	-17.5	200	1	0	541.970	0	
33	1	555.648	0	460	1105	2857	4205	751	-17.5	200	1	1	556.107	1	
34	0	561.283	0	460	1105	2857	4205	501	-14.5	200	1	0	562.082	0	
35	1	575.881	0	460	1105	2857	4205	501	-14.5	200	1	0	576.619	0	
36	1	596.704	0	460	1105	2857	4205	501	-14.5	200	1	0	604.024	0	
37	1	616.177	0	460	1105	2857	4205	501	-14.5	200	1	1	617.367	1	
38	0	623.554	0	460	1105	2857	4205	701	-16.0	200	1	1	624.129	1	
39	0	633.487	0	460	1105	2857	4205	951	-14.5	200	1	1	634.483	1	
40	0	640.259	0	730	2058	2857	4205	1001	-21.0	200	0	0	640.976	1	
41	0	684.848	0	730	2058	2857	4205	901	-15.0	200	0	0	685.376	1	
42	0	697.982	0	730	2058	2857	4205	551	-18.0	200	0	0	698.611	1	
43	0	706.688	0	460	1105	2857	4205	601	-17.5	200	1	1	707.865	1	
44	0	711.668	0	460	1105	2857	4205	851	-19.0	200	1	1	712.388	1	
