Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	
1	0	37.9158	0	460	1105	2857	4205	651	-19.0	200	1	1	42.8755	1	
2	0	82.3001	0	730	2058	2857	4205	901	-15.0	200	0	0	87.6845	1	
3	0	129.2826	0	460	1105	2857	4205	951	-13.0	200	1	0	132.6924	0	
4	1	155.6492	0	460	1105	2857	4205	951	-13.0	200	1	0	157.6718	0	
5	1	174.0050	0	460	1105	2857	4205	951	-13.0	200	1	1	175.6655	1	
6	0	193.2654	0	730	2058	2857	4205	601	-21.0	200	0	0	194.2556	1	
7	0	215.3439	0	730	2058	2857	4205	501	-15.0	200	0	0	217.1057	1	
8	0	234.9918	0	730	2058	2857	4205	501	-22.5	200	-1	0	236.3998	-1	
9	0	253.8593	0	460	1105	2857	4205	851	-19.0	200	1	1	254.8434	1	
10	0	272.5761	0	460	1105	2857	4205	501	-24.0	200	-1	0	274.2907	-1	
11	0	292.0455	0	730	2058	2857	4205	501	-22.5	200	-1	0	293.2060	-1	
12	0	316.0768	0	460	1105	2857	4205	751	-19.0	200	1	1	317.1687	1	
13	0	338.5526	0	730	2058	2857	4205	701	-21.0	200	0	0	339.1190	1	
14	0	353.9526	0	460	1105	2857	4205	601	-13.0	200	1	1	354.9858	1	
15	0	372.5179	0	730	2058	2857	4205	851	-15.0	200	0	0	374.0688	1	
16	0	406.2071	0	460	1105	2857	4205	951	-19.0	200	1	1	407.1335	1	
17	0	432.0410	0	730	2058	2857	4205	901	-21.0	200	0	0	433.1750	1	
18	0	450.5564	0	730	2058	2857	4205	801	-21.0	200	0	0	451.9832	1	
19	0	473.2491	0	730	2058	2857	4205	501	-21.0	200	0	0	473.7535	1	
20	0	495.4199	0	460	1105	2857	4205	501	-24.0	200	-1	0	498.5272	-1	
21	0	514.1736	0	460	1105	2857	4205	551	-13.0	200	1	1	515.5138	1	
22	0	537.1559	0	730	2058	2857	4205	501	-22.5	200	-1	0	538.2543	-1	
23	0	560.2920	0	460	1105	2857	4205	601	-19.0	200	1	0	561.9564	0	
24	1	583.1768	0	460	1105	2857	4205	601	-19.0	200	1	1	585.7477	1	
25	0	601.6945	0	730	2058	2857	4205	951	-15.0	200	0	0	602.8315	1	
26	0	623.3581	0	460	1105	2857	4205	801	-19.0	200	1	1	623.9491	1	
27	0	642.9423	0	460	1105	2857	4205	501	-24.0	200	-1	0	644.8082	-1	
28	0	666.2400	0	460	1105	2857	4205	851	-13.0	200	1	1	667.3308	1	
29	0	701.3436	1	460	1105	2857	4205	901	-13.0	200	1	0	706.2471	0	
30	1	714.8787	0	460	1105	2857	4205	901	-13.0	200	1	1	715.6694	1	
31	0	731.9758	0	730	2058	2857	4205	701	-15.0	200	0	0	733.6863	1	
32	0	753.4968	0	730	2058	2857	4205	501	-21.0	200	0	0	754.1559	1	
33	0	774.4002	0	460	1105	2857	4205	751	-13.0	200	1	1	775.1354	1	
34	0	793.4254	0	730	2058	2857	4205	501	-22.5	200	-1	0	794.7984	-1	
35	0	812.6853	0	730	2058	2857	4205	501	-21.0	200	0	0	813.3591	1	
36	0	836.0393	1	460	1105	2857	4205	851	-13.0	200	1	0	836.9939	0	
37	1	844.3300	0	460	1105	2857	4205	851	-13.0	200	1	1	847.9899	1	
38	0	863.4861	0	730	2058	2857	4205	651	-21.0	200	0	0	867.4279	1	
39	0	881.6969	0	460	1105	2857	4205	501	-24.0	200	-1	0	882.7128	-1	
40	0	904.9337	0	460	1105	2857	4205	551	-13.0	200	1	1	905.4773	1	
41	0	920.8146	0	460	1105	2857	4205	1001	-13.0	200	1	1	922.9083	1	
42	0	933.3644	0	730	2058	2857	4205	751	-15.0	200	0	0	934.3064	1	
43	0	951.8954	0	730	2058	2857	4205	501	-22.5	200	-1	0	953.6406	-1	
44	0	976.8913	0	730	2058	2857	4205	901	-21.0	200	0	0	977.7526	1	
