Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	
1	0	5.0162	1	730	2058	2857	4205	851	-15.0	200	0	0	5.0853	1	
2	0	8.4397	0	460	1105	2857	4205	651	-13.0	200	1	0	8.4650	0	
3	1	17.7483	0	460	1105	2857	4205	651	-13.0	200	1	0	17.8358	0	
4	1	23.6442	0	460	1105	2857	4205	651	-13.0	200	1	0	23.6734	0	
5	1	29.8564	0	460	1105	2857	4205	651	-13.0	200	1	0	29.9718	0	
6	1	39.1657	0	460	1105	2857	4205	651	-13.0	200	1	0	39.3427	0	
7	1	48.2446	0	460	1105	2857	4205	651	-13.0	200	1	1	48.8638	1	
8	0	54.3284	0	730	2058	2857	4205	501	-22.5	200	-1	1	54.8040	-1	
9	0	63.1136	0	730	2058	2857	4205	701	-15.0	200	0	0	63.5226	1	
10	0	68.7872	1	460	1105	2857	4205	751	-19.0	200	1	1	69.6158	1	
11	0	74.1114	0	730	2058	2857	4205	951	-21.0	200	0	0	76.2256	1	
12	0	86.6256	0	460	1105	2857	4205	901	-13.0	200	1	1	86.9838	1	
13	0	91.0661	0	730	2058	2857	4205	501	-21.0	200	0	0	91.4114	1	
14	0	96.5011	1	730	2058	2857	4205	551	-15.0	200	0	0	96.7996	1	
15	0	101.7919	0	730	2058	2857	4205	551	-15.0	200	0	0	104.4211	1	
16	0	109.4414	0	460	1105	2857	4205	601	-19.0	200	1	1	110.0393	1	
17	0	115.8060	0	460	1105	2857	4205	501	-24.0	200	-1	1	116.2718	-1	
18	0	120.1131	0	730	2058	2857	4205	501	-22.5	200	-1	1	120.4675	-1	
19	0	126.5279	0	460	1105	2857	4205	751	-19.0	200	1	1	126.7091	1	
20	0	133.8498	0	460	1105	2857	4205	801	-19.0	200	1	1	134.1131	1	
21	0	138.7531	0	730	2058	2857	4205	501	-15.0	200	0	0	139.2405	1	
22	0	162.1386	0	730	2058	2857	4205	951	-21.0	200	0	0	162.5822	1	
23	0	168.2645	0	730	2058	2857	4205	501	-22.5	200	-1	1	168.7060	-1	
24	0	178.0494	0	460	1105	2857	4205	651	-19.0	200	1	1	178.3643	1	
25	0	186.3222	0	460	1105	2857	4205	1001	-13.0	200	1	1	186.5843	1	
26	0	197.0201	1	460	1105	2857	4205	851	-19.0	200	1	1	197.3398	1	
27	0	202.0321	0	460	1105	2857	4205	501	-24.0	200	-1	1	203.8347	-1	
28	0	210.9810	0	730	2058	2857	4205	601	-15.0	200	0	0	211.2797	1	
29	0	220.5443	1	730	2058	2857	4205	801	-15.0	200	0	0	220.9274	1	
30	0	225.2918	0	460	1105	2857	4205	501	-24.0	200	-1	1	228.1499	-1	
31	0	233.2791	0	460	1105	2857	4205	501	-19.0	200	1	1	233.6297	1	
32	0	246.3812	0	460	1105	2857	4205	951	-19.0	200	1	1	246.6246	1	
33	0	252.3188	0	460	1105	2857	4205	751	-19.0	200	1	1	252.6238	1	
34	0	255.9155	0	730	2058	2857	4205	501	-22.5	200	-1	1	256.2109	-1	
35	0	269.4615	0	730	2058	2857	4205	951	-21.0	200	0	0	269.9176	1	
36	0	273.5493	0	730	2058	2857	4205	651	-15.0	200	0	0	274.7504	1	
37	0	281.7453	0	730	2058	2857	4205	901	-15.0	200	0	0	282.1904	1	
38	0	286.3800	0	460	1105	2857	4205	601	-19.0	200	1	0	286.8590	0	
39	1	293.9208	0	460	1105	2857	4205	601	-19.0	200	1	1	294.3402	1	
40	0	297.2644	0	730	2058	2857	4205	501	-22.5	200	-1	1	297.6518	-1	
41	0	308.8573	0	460	1105	2857	4205	551	-13.0	200	1	1	309.1730	1	
42	0	315.1393	0	460	1105	2857	4205	751	-19.0	200	1	1	315.4432	1	
43	0	322.2096	0	730	2058	2857	4205	701	-21.0	200	0	0	322.5280	1	
44	0	328.4925	0	460	1105	2857	4205	501	-24.0	200	-1	1	329.0183	-1	
45	0	332.3232	0	730	2058	2857	4205	501	-15.0	200	0	0	333.0096	1	
46	0	345.2283	0	460	1105	2857	4205	951	-19.0	200	1	1	345.5275	1	
47	0	351.4827	0	730	2058	2857	4205	651	-15.0	200	0	0	351.9243	1	
48	0	360.7857	0	730	2058	2857	4205	851	-15.0	200	0	0	361.1289	1	
49	0	367.4633	0	730	2058	2857	4205	801	-15.0	200	0	0	367.7510	1	
50	0	371.5774	0	460	1105	2857	4205	501	-24.0	200	-1	1	371.9120	-1	
51	0	376.1564	0	730	2058	2857	4205	501	-22.5	200	-1	1	376.5150	-1	
52	0	382.7463	0	460	1105	2857	4205	701	-19.0	200	1	1	382.9984	1	
53	0	386.0985	0	460	1105	2857	4205	551	-19.0	200	1	1	386.3959	1	
54	0	391.9332	0	730	2058	2857	4205	601	-15.0	200	0	0	392.2946	1	
55	0	398.6679	0	460	1105	2857	4205	501	-24.0	200	-1	1	399.1581	-1	
56	0	404.6412	0	460	1105	2857	4205	701	-13.0	200	1	1	404.8686	1	
57	0	408.1709	0	730	2058	2857	4205	501	-22.5	200	-1	1	408.6048	-1	
58	0	412.1784	0	460	1105	2857	4205	551	-13.0	200	1	1	412.4971	1	
59	0	423.4131	1	730	2058	2857	4205	801	-21.0	200	0	0	423.7773	1	
60	0	428.2481	0	730	2058	2857	4205	601	-21.0	200	0	0	430.8614	1	
61	0	440.7931	0	460	1105	2857	4205	501	-19.0	200	1	0	443.1985	0	
62	1	450.6005	1	460	1105	2857	4205	501	-19.0	200	1	1	453.7448	1	
63	0	463.2971	0	730	2058	2857	4205	751	-21.0	200	0	0	463.6757	1	
64	0	474.3585	0	460	1105	2857	4205	1001	-19.0	200	1	1	474.7175	1	
65	0	489.0329	0	730	2058	2857	4205	851	-15.0	200	0	0	489.4577	1	
66	0	500.1796	0	460	1105	2857	4205	901	-19.0	200	1	1	500.5323	1	
67	0	503.9297	0	730	2058	2857	4205	501	-22.5	200	-1	1	504.2254	-1	
68	0	510.4236	0	730	2058	2857	4205	801	-15.0	200	0	0	510.9477	1	
69	0	515.2569	0	460	1105	2857	4205	501	-24.0	200	-1	1	516.0158	-1	
70	0	519.9196	1	460	1105	2857	4205	701	-13.0	200	1	1	520.3039	1	
71	0	524.1232	0	460	1105	2857	4205	601	-13.0	200	1	1	525.3785	1	
72	0	529.3257	0	460	1105	2857	4205	851	-13.0	200	1	1	529.7856	1	
73	0	543.0725	0	730	2058	2857	4205	951	-15.0	200	0	0	543.3655	1	
74	0	547.8151	0	730	2058	2857	4205	501	-21.0	200	0	0	548.1217	1	
