Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	
1	0	18.1626	0	936	1551	2975	4263	531	-12.5	200	1	0	21.0479	0	
2	1	27.3551	0	936	1551	2975	4263	531	-12.5	200	1	1	28.9407	1	
3	0	40.7594	0	437	2761	2975	4263	541	-4.5	200	0	1	41.7843	0	
4	1	48.2824	1	437	2761	2975	4263	541	-4.5	200	0	1	49.9209	0	
5	1	64.6374	1	437	2761	2975	4263	541	-4.5	200	0	0	66.7361	1	
6	0	86.3826	0	936	1551	2975	4263	501	-10.5	200	-1	1	87.7362	-1	
7	0	94.4106	0	936	1551	2975	4263	571	-14.0	200	1	1	95.3020	1	
8	0	101.5886	0	437	2761	2975	4263	501	-7.5	200	0	1	104.3802	0	
9	1	110.2532	1	437	2761	2975	4263	501	-7.5	200	0	0	111.5007	1	
10	0	135.0236	0	437	2761	2975	4263	511	-9.0	200	0	1	135.8952	0	
11	1	142.1139	0	437	2761	2975	4263	511	-9.0	200	0	0	150.0239	1	
12	0	164.4693	0	437	2761	2975	4263	501	-10.5	200	-1	0	165.6492	-1	
13	0	175.2897	0	936	1551	2975	4263	591	-15.5	200	1	1	176.2369	1	
14	0	181.9127	1	437	2761	2975	4263	581	-10.5	200	0	0	184.2313	1	
15	0	195.3557	0	936	1551	2975	4263	551	-12.5	200	1	0	196.5061	0	
16	1	230.6638	0	936	1551	2975	4263	551	-12.5	200	1	1	231.9505	1	
17	0	243.9792	0	437	2761	2975	4263	571	-4.5	200	0	0	244.5793	1	
18	0	258.5528	1	936	1551	2975	4263	601	-11.0	200	1	1	260.5571	1	
19	0	266.2415	0	936	1551	2975	4263	501	-14.0	200	1	0	272.1924	0	
20	1	292.5329	0	936	1551	2975	4263	501	-14.0	200	1	1	293.4288	1	
21	0	302.3873	0	437	2761	2975	4263	501	-10.5	200	-1	1	303.7551	-1	
22	0	314.2744	0	936	1551	2975	4263	501	-10.5	200	-1	0	318.9968	-1	
23	0	333.1224	1	437	2761	2975	4263	541	-4.5	200	0	0	336.6260	1	
24	0	349.7600	0	437	2761	2975	4263	521	-10.5	200	0	0	351.3380	1	
25	0	363.8141	0	437	2761	2975	4263	551	-4.5	200	0	0	365.0518	1	
26	0	375.1019	1	936	1551	2975	4263	591	-14.0	200	1	1	376.9507	1	
27	0	383.5696	1	437	2761	2975	4263	531	-7.5	200	0	0	391.1934	1	
28	0	402.0885	0	936	1551	2975	4263	531	-14.0	200	1	1	403.4040	1	
29	0	410.2865	0	936	1551	2975	4263	501	-10.5	200	-1	1	411.4629	-1	
30	0	418.2233	0	437	2761	2975	4263	501	-10.5	200	-1	0	420.1932	-1	
31	0	430.7956	0	936	1551	2975	4263	541	-12.5	200	1	1	431.9810	1	
32	0	437.8038	0	936	1551	2975	4263	501	-10.5	200	-1	1	438.4914	-1	
33	0	444.4865	0	437	2761	2975	4263	501	-10.5	200	-1	1	446.5527	-1	
34	0	462.2903	0	936	1551	2975	4263	581	-9.5	200	1	1	463.4476	1	
35	0	468.9618	1	437	2761	2975	4263	591	-10.5	200	0	0	472.8712	1	
36	0	484.4136	0	936	1551	2975	4263	501	-15.5	200	1	1	485.7983	1	
37	0	491.2012	1	437	2761	2975	4263	511	-4.5	200	0	0	498.3475	1	
38	0	509.7194	1	936	1551	2975	4263	521	-12.5	200	1	0	513.5824	0	
39	1	519.4780	1	936	1551	2975	4263	521	-12.5	200	1	1	526.5571	1	
40	0	532.0928	0	437	2761	2975	4263	561	-6.0	200	0	1	532.2410	0	
41	1	543.2010	0	437	2761	2975	4263	561	-6.0	200	0	0	544.8346	1	
42	0	555.1934	0	936	1551	2975	4263	591	-12.5	200	1	1	556.6503	1	
43	0	561.6679	0	936	1551	2975	4263	501	-10.5	200	-1	1	562.7981	-1	
44	0	568.3637	0	936	1551	2975	4263	581	-9.5	200	1	1	569.6244	1	
45	0	576.3116	0	437	2761	2975	4263	501	-10.5	200	-1	0	577.7222	-1	
46	0	585.2867	1	437	2761	2975	4263	531	-6.0	200	0	0	587.7356	1	
47	0	600.9490	1	936	1551	2975	4263	601	-9.5	200	1	0	605.9783	0	
48	1	612.6637	0	936	1551	2975	4263	601	-9.5	200	1	1	614.2616	1	
49	0	619.8519	0	437	2761	2975	4263	511	-7.5	200	0	0	621.5753	1	
50	0	629.7219	1	437	2761	2975	4263	541	-9.0	200	0	0	634.6132	1	
51	0	643.7480	0	437	2761	2975	4263	501	-10.5	200	-1	0	645.2351	-1	
52	0	653.7364	0	936	1551	2975	4263	501	-10.5	200	-1	0	655.2558	-1	
53	0	668.2223	0	936	1551	2975	4263	501	-14.0	200	1	0	669.6156	0	
54	1	680.0539	0	936	1551	2975	4263	501	-14.0	200	1	1	681.3938	1	
55	0	707.6206	1	437	2761	2975	4263	561	-10.5	200	0	0	708.8973	1	
56	0	716.7549	1	936	1551	2975	4263	541	-11.0	200	1	1	726.5025	1	
57	0	732.5296	1	437	2761	2975	4263	581	-4.5	200	0	0	735.8450	1	
58	0	746.3602	1	437	2761	2975	4263	511	-7.5	200	0	0	752.2263	1	
59	0	762.3926	0	936	1551	2975	4263	521	-14.0	200	1	1	764.0879	1	
60	0	769.6791	0	936	1551	2975	4263	571	-14.0	200	1	1	772.1723	1	
61	0	780.2438	0	936	1551	2975	4263	501	-10.5	200	-1	0	781.6074	-1	
62	0	791.9130	1	437	2761	2975	4263	501	-4.5	200	0	0	793.2389	1	
63	0	801.2684	0	437	2761	2975	4263	551	-7.5	200	0	0	802.9478	1	
64	0	811.1324	0	936	1551	2975	4263	511	-9.5	200	1	0	812.7512	0	
65	1	818.4230	1	936	1551	2975	4263	511	-9.5	200	1	1	822.6375	1	
66	0	828.6233	1	437	2761	2975	4263	601	-6.0	200	0	0	834.9960	1	
67	0	846.4192	0	936	1551	2975	4263	521	-14.0	200	1	0	847.9683	0	
68	1	859.5677	0	936	1551	2975	4263	521	-14.0	200	1	0	861.2247	0	
69	1	868.2974	1	936	1551	2975	4263	521	-14.0	200	1	0	871.5488	0	
70	1	877.2221	1	936	1551	2975	4263	521	-14.0	200	1	1	884.0527	1	
71	0	892.2545	0	437	2761	2975	4263	501	-10.5	200	-1	1	893.8437	-1	
72	0	900.6937	0	437	2761	2975	4263	581	-9.0	200	0	0	904.0648	1	
73	0	915.2705	0	936	1551	2975	4263	531	-12.5	200	1	1	916.6093	1	
74	0	930.2934	0	437	2761	2975	4263	541	-6.0	200	0	0	931.6304	1	
75	0	950.2759	0	437	2761	2975	4263	501	-10.5	200	-1	1	952.1431	-1	
76	0	957.2315	0	437	2761	2975	4263	511	-9.0	200	0	0	958.7144	1	
77	0	970.5659	0	936	1551	2975	4263	501	-10.5	200	-1	0	971.6584	-1	
78	0	980.1116	1	936	1551	2975	4263	521	-15.5	200	1	0	983.5276	0	
79	1	989.3994	1	936	1551	2975	4263	521	-15.5	200	1	1	995.1551	1	
80	0	1002.7446	0	936	1551	2975	4263	541	-9.5	200	1	1	1004.8750	1	
81	0	1011.9485	1	936	1551	2975	4263	561	-12.5	200	1	0	1017.7329	0	
